,current_location,current_work,previous_work,latest_Education,major,search_school,latitude,longitude,state,county,city,fips,current_company,previous_company,current_company_industry,previous_company_industry
10,New York City  ,Product Manager at Twilio,"Senior Manager, Cloud + AI Product Strategy at Microsoft",Brown University,Applied Mathematics,Brown University,40.712728,-74.006015,New York,,New York,36061.0,Twilio,Microsoft,"511210 Utility software, computer, packaged",519190 Title search services (except real estate)
11,"Encinitas, California, United States",Vice President Project Development at Poseidon Water,Vice President at Tom Shepard & Associates / Public Policy Strategies,Brown University,Public Policy,Brown University,33.036987,-117.291982,California,San Diego,,6073.0,Poseidon Water,Tom Shepard & Associates / Public Policy Strategies,237110 Water well pump and well piping system installation,
12,"Bainbridge Island, Washington, United States","Customer Service Consultant, Customer Service Trainer, eLearning, Forbes, Customer Experience at micahsolomon.com",President and Founder at Oasis Disc Manufacturing,Brown University,Music,Brown University,47.647568,-122.546029,Washington,Kitsap,,53035.0,micahsolomon.com,Oasis Disc Manufacturing,,
13,"New York, New York, United States","Partner at Meenan & Associates, LLC",Attorney At Law at Law Office of Lissett Ferreira,Fordham University School of Law,"Portuguese and Brazailian Studies, Honors, & International Relations",Brown University,40.712728,-74.006015,New York,,New York,36061.0,"Meenan & Associates, LLC",Law Office of Lissett Ferreira,,
14,"New York, New York, United States",Owner at Blauner Books Literary Agency,"Editor at ""IN THEIR LIVES: Great Writers on Great Beatles Songs""",+ 2 more,,Brown University,40.712728,-74.006015,New York,,New York,36061.0,Blauner Books Literary Agency,"Beatles Songs""",,
15,San Francisco Bay ,"Marketing Representative, Global T.E.A.M. DE&I Council at Under Armour","Senior Director, Creative at Banana Republic",The Tuck School of Business at Dartmouth,Graphic Design,Brown University,37.714029,-122.307794,California,San Mateo,,6081.0,Under Armour,Banana Republic,316210 Work shoes manufacturing,448140 Western wear stores
16,New York City  ,"Director, Communications Leader for the Office of the Chief Medical Officer (Enterprise) at Johnson & Johnson","Public Affairs Leader, North America (Consumer) at Johnson & Johnson",Brown University,Political Science,Brown University,40.712728,-74.006015,New York,,New York,36061.0,Johnson & Johnson,Johnson & Johnson,"423450 X-ray machines and parts, medical and dental, merchant wholesalers","423450 X-ray machines and parts, medical and dental, merchant wholesalers"
17,"New York, New York, United States","Author, ""Make Your Move: The New Science of Dating and Why Women Are in Charge"" (BenBella, 2021) at BenBella Books","Author, ""DATE-ONOMICS: How Dating Became a Lopsided Numbers Game"" at Workman Publishing",Brown University,,Brown University,40.712728,-74.006015,New York,,New York,36061.0,BenBella Books,Workman Publishing,511130 University press publishers (except exclusive Internet publishing),511130 University press publishers (except exclusive Internet publishing)
18,"New York, New York, United States",General Partner at Elephant,Associate at Highland Capital Partners,Brown University,,Brown University,40.712728,-74.006015,New York,,New York,36061.0,Elephant,Highland Capital Partners,325998 Writing inks manufacturing,523910 Viatical settlement companies
19,"Washington, New Jersey, United States",Senior Director at Summit Staffing Partners,Technical Recruiter at Grassbridge LLC,Brown University,"Commerce, Organization, Entrepreneurship",Brown University,40.758433,-74.979338,New Jersey,Warren,,34041.0,Summit Staffing Partners,Grassbridge LLC,,
20,New York City  ,Co-Founder and General Partner at Divergent Capital,COO and Head of Product at Rendered.AI,Brown University,"Mathematics, Behavioral Economics",Brown University,40.712728,-74.006015,New York,,New York,36061.0,Divergent Capital,Rendered.AI,,
21,"Shrewsbury, Massachusetts, United States",Sales Leader - East at ForgeRock,Director - Americas Sales/Anti-Fraud (Outseer) at RSA Security,2001–2005,,Brown University,42.283828,-71.717287,Massachusetts,Worcester,,25027.0,ForgeRock,RSA Security,"541511 Web (i.e., Internet) page design services, custom","541512 Systems integration design services, computer"
22,"New York, New York, United States",Partner at Goodwin,Partner at Dechert LLP,1989–1992,Law,Brown University,40.712728,-74.006015,New York,,New York,36061.0,Goodwin,Dechert LLP,551112 Public utility holding companies,541110 Tax law attorneys' private practices
23,"Canton, Ohio, United States",Owner at Miller Myers Bookkeeping Solutions LLC,Customer Service Clerk at JCPenney,Bookkeeper Launch,bookkeeping,Brown University,40.798546,-81.374951,Ohio,Stark,Canton,39151.0,Miller Myers Bookkeeping Solutions LLC,JCPenney,,"531120 Theater, property operation, rental or leasing"
24,San Francisco Bay ,Founder at Aila Health,Growth Advisor at Obviously AI,"University of California, Berkeley, Haas School of Business",Biology,Brown University,37.714029,-122.307794,California,San Mateo,,6081.0,Aila Health,Obviously AI,,
25,"Santa Monica, California, United States",Co-Founder & Technology Lead at Hammerhead.,Hammerhead Co-Founder at TechStars,Brown University,PRIME - Program in Innovation Management and Entrepreneurship,Brown University,34.01947,-118.491227,California,Los Angeles,Santa Monica,6037.0,Hammerhead.,TechStars,424930 Trees merchant wholesalers,523910 Viatical settlement companies
26,"New York, New York, United States",Founder & CEO at Quanta Technologies Inc.,Global Derivative Sales at ABN AMRO Bank N.V.,Brown University,Physics,Brown University,40.712728,-74.006015,New York,,New York,36061.0,Quanta Technologies Inc.,ABN AMRO Bank N.V.,,"711510 Writers, independent (freelance)"
27,"Cambridge, Massachusetts, United States",Chief Operating Officer at Versant NewCo,Chief Operating Officer at Monte Rosa Therapeutics,Brown University,Organic Chemistry,Brown University,42.3751,-71.105616,Massachusetts,Middlesex,Cambridge,25017.0,Versant NewCo,Monte Rosa Therapeutics,,325414 Virus vaccines manufacturing
28,"Cincinnati, Ohio, United States",Senior Medical Director; Radiation Oncologist at Medpace,Radiation Oncologist at TriHealth,1994–1998,Biology,Brown University,39.101454,-84.51246,Ohio,Hamilton,Cincinnati,39061.0,Medpace,TriHealth,541715,561110 Office management services
29,"Irvine, California, United States",Co-Founder & CEO at Mabel,Co-Founder & CEO at Calyx Health,Brown University,Computational Biology,Brown University,33.685697,-117.825982,California,Orange,Irvine,6059.0,Mabel,Calyx Health,551112 Public utility holding companies,"621111 Walk-in physicians' offices (e.g., centers, clinics)"
30,San Francisco Bay ,VP of Software Engineering at Velodyne Lidar,"Sr. Director of Software Engineering at Velodyne Lidar, Inc.",2002–2009,Electrical and Computer Engineering,Brown University,37.714029,-122.307794,California,San Mateo,,6081.0,Velodyne Lidar,"Velodyne Lidar, Inc.","511210 Utility software, computer, packaged","511210 Utility software, computer, packaged"
31,"High Bridge, New Jersey, United States",President & CEO - Owner at The Knotts Company,V.P. Sales & Marketing at The Knotts Company,Fairleigh Dickinson University-College at Florham,Marketing,Brown University,40.667045,-74.895723,New Jersey,Hunterdon,,34019.0,The Knotts Company,The Knotts Company,423840 Wiping cloths merchant wholesalers,423840 Wiping cloths merchant wholesalers
32,"London, England, United Kingdom",Managing Director at MARK,Venture Partner at Anyon Holding,Stanford University Graduate School of Business,Political Science and Economics,Brown University,51.507322,-0.127647,England,,London,,MARK,Anyon Holding,424490 Yeast merchant wholesalers,
33,San Francisco Bay ,Chief Operating Officer at Motimatic,Interim CEO at Motimatic,Brown University,Math-Physics,Brown University,37.714029,-122.307794,California,San Mateo,,6081.0,Motimatic,Motimatic,,
34,"Boston, Massachusetts, United States","Founder & CEO at Tremor Technologies, Inc.","Director, Product Management at AOL",Brown University,,Brown University,42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025.0,"Tremor Technologies, Inc.",AOL,,812990 Wedding planning services
35,"San Antonio, Texas, United States",President GroMarketShare LLC at GroMarketShare LLC,Vice President Marketing Americas  at Acelity,Brown University,Master's Degree of Science in Healthcare Leadership,Brown University,29.4246,-98.49514,Texas,Bexar,San Antonio,48029.0,GroMarketShare LLC,Acelity,,325412 Zinc oxide medicinal preparations manufacturing
36,"Boston, Massachusetts, United States","Founder, CEO at Rocket Alumni Solutions",Investment Banking Analyst at Harris Williams,Brown University,Business & Economics,Brown University,42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025.0,Rocket Alumni Solutions,Harris Williams,,523110 Underwriting securities
37,"San Diego, California, United States",Senior Project Manager at BNBuilders,Senior Project Manager / PM II at Lendlease,Brown University,"Commerce, Organizations, & Entrepreneurship; Architectural Studies",Brown University,32.71742,-117.162773,California,San Diego,San Diego,6073.0,BNBuilders,Lendlease,"236220 Warehouse, industrial, construction",551112 Public utility holding companies
38,New York City  ,"Business Services Director at Goldman Sachs 10,000 Small Businesses @ LaGuardia Community College",Director at CAMBA Economic Development Corporation,1997–1999,Finance and Strategic Management,Brown University,40.712728,-74.006015,New York,,New York,36061.0,"Goldman Sachs 10,000 Small Businesses @ LaGuardia Community College",CAMBA Economic Development Corporation,,
39,,,Research and Analytics Summer Intern at Commonfund,University of Chicago,Mathematics (B.S.); Economics (B.A.); Statistics (B.A.),Brown University,,,,,,,,Commonfund,,"525910 Mutual funds, open-ended"
40,"San Carlos, California, United States","Vice President Of Product Management, Core Products at Splunk","Vice President of Product Management at AtScale, Inc.",1996–1998,"Business, Operations",Brown University,37.504936,-122.261823,California,San Mateo,San Carlos,6081.0,Splunk,"AtScale, Inc.","511210 Utility software, computer, packaged","541511 Web (i.e., Internet) page design services, custom"
41,"Providence, Rhode Island, United States","Head, US Innovation & Venture Hub at Orsted - Offshore North America","AVP, Innovation Science & Technology at FM Global",2003–2007,"Double Major: 1. Public Policy, 2. Business Economics",Brown University,41.823989,-71.412834,Rhode Island,Providence,Providence,44007.0,Orsted - Offshore North America,FM Global,,"524113 Savings bank life insurance carriers, direct"
42,San Francisco Bay ,"Vice President, Pipeline Strategy and External Innovation at Adverum Biotechnologies, Inc.","Executive Director, Business Development at Adverum Biotechnologies, Inc.",Georgetown University - The McDonough School of Business,International Business,Brown University,37.714029,-122.307794,California,San Mateo,,6081.0,"Adverum Biotechnologies, Inc.","Adverum Biotechnologies, Inc.",541714,541714
43,"Los Angeles, California, United States","Co-Founder, Chairman & Co-CEO at Scopely",CEO at O Negative Media,2000–2004,"English Literature, Fiction Writing",Brown University,34.053691,-118.242766,California,Los Angeles,Los Angeles,6037.0,Scopely,O Negative Media,"511210 Utility software, computer, packaged",
44, Minneapolis-St. Paul ,Senior Marketing Manager at Ecolab,"Senior Marketing Manager, Healthy Fruit at SunOpta",University of Pennsylvania - The Wharton School,Marketing and Operations Management,Brown University,44.878019,-93.220928,Minnesota,Hennepin,Minneapolis,27053.0,Ecolab,SunOpta,561710 Termite control services,"523130 Trading companies, commodity contracts"
45,"Providence, Rhode Island, United States",Founder at Wingspans,Ph.D. Candidate at Brown University,Brown University,Materials Science,Brown University,41.823989,-71.412834,Rhode Island,Providence,Providence,44007.0,Wingspans,Brown University,,611310 Universities
46,"San Francisco, California, United States",Head of Product at Sofar Ocean,"Senior Product Manager, APIs & Developer Experience at Planet",Brown University,International Relations,Brown University,37.779026,-122.419906,California,,San Francisco,6075.0,Sofar Ocean,Planet,,"424990 Yarns, industrial, merchant wholesalers"
47,"Bronxville, New York, United States","SVP Brand, Marketing & Media, Consumer Services at Altice USA","Executive Director, Head of Brand Experience & Development at J.P. Morgan Private Bank at J.P. Morgan",Columbia University in the City of New York,Strategic Communications (Branding concentration),Brown University,40.939574,-73.827056,New York,Westchester,,36119.0,Altice USA,J.P. Morgan,515210 Television subscription services,"423520 Ores (e.g., gold, iron, lead, silver, zinc) merchant wholesalers"
48,"Philadelphia, Pennsylvania, United States",System Senior Vice President for Digital and Human Experiences at CommonSpirit Health,Advisory Board Member at Imprivata,Brown University,"Instructional Technology, Measurement",Brown University,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101.0,CommonSpirit Health,Imprivata,561110 Office management services,561621 Security system monitoring services
49,Bangkok  ,Chief Strategy Officer at Transformational,"Director, Strategy and Corporate Development at Kaidee",Harvard University,"Leadership, Economic Development, Urban Innovation",Brown University,13.752544,100.493473,กรุงเทพมหานคร,,กรุงเทพมหานคร,,Transformational,Kaidee,"524113 Savings bank life insurance carriers, direct",
50,"New York, New York, United States",Head of Product at Talent Hack,Director of Product Management at Plated,Brown University,Psychology,Brown University,40.712728,-74.006015,New York,,New York,36061.0,Talent Hack,Plated,,331110 Wrought iron or steel pipe and tubing made in iron and steel mills
51,"Los Angeles, California, United States","Vice President, Strategy & Business Development at Mythical Entertainment","Manager, Sports & Entertainment at YouTube",Brown University,Political Science,Brown University,34.053691,-118.242766,California,Los Angeles,Los Angeles,6037.0,Mythical Entertainment,YouTube,512120 Television show syndicators,238220 Water system balancing and testing contractors
52,San Francisco Bay ,Global Head of Future Mobility at Rockwell Automation,Global Business Leader - EV & Battery at Rockwell Automation,Brown University,,Brown University,37.714029,-122.307794,California,San Mateo,,6081.0,Rockwell Automation,Rockwell Automation,"334210 Wide area network communications equipment (e.g., bridges, gateways, routers) manufacturing","334210 Wide area network communications equipment (e.g., bridges, gateways, routers) manufacturing"
53,"London , United Kingdom",Founder at The Alchemy Group,International General Manager & VP Growth at Trainline,2006–2008,Entrepreneurial Management,Brown University,51.507322,-0.127647,England,,London,,The Alchemy Group,Trainline,541990 Weather forecasting services,551112 Public utility holding companies
54,,"Associate Director of Product Management, Pharma Services at NeoGenomics Laboratories",VC Investor at Venture Capital Firm (undisclosed),"University of California, Berkeley",Chemistry,Brown University,,,,,,,NeoGenomics Laboratories,Venture Capital Firm (undisclosed),541380 X-ray inspection services,
55,"Boston, Massachusetts, United States","Business Development, Expansion Operations at Capsule",International Business Development at PharmaLogics Recruiting,Brown University,"Entrepreneurial Engineering, Technology Innovation, Business Engineering, Management, Biotechnology",Brown University,42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025.0,Capsule,PharmaLogics Recruiting,424490 Yeast merchant wholesalers,561312 Senior executive search services
56,"Cambridge, Massachusetts, United States",Executive Founder at The Leadership Consortium (TLC),"Founder and CEO at GenePeeks, Inc.",Harvard Business School,,Brown University,42.3751,-71.105616,Massachusetts,Middlesex,Cambridge,25017.0,The Leadership Consortium (TLC),"GenePeeks, Inc.",,
57,"Seattle, Washington, United States",Senior Media Relations Manager at Boeing,"Senior Manager, Fabrication Communications, Boeing Commercial Airplanes at Boeing",Columbia University - Graduate School of Journalism,Journalism,Brown University,47.603832,-122.330062,Washington,King,Seattle,53033.0,Boeing,Boeing,"336413 Universal joints, aircraft, manufacturing","336413 Universal joints, aircraft, manufacturing"
58,"Flower Mound, Texas, United States",Vice President Architecture and Engineering at AIG,Senior Technology Strategy Consultant at Point B,Brown University,Business Administration and Management,Brown University,33.028385,-97.08672,Texas,Denton,Flower Mound,48121.0,AIG,Point B,524126 Workers' compensation insurance underwriting,316110 Wet blues manufacturing
59,"New York, New York, United States","VP, Strategy & Innovation at Insight Partners","Senior Director, Strategy & Business Development at Industrious",2007–2011,Neuroscience and Science & Society,Brown University,40.712728,-74.006015,New York,,New York,36061.0,Insight Partners,Industrious,523910 Viatical settlement companies,"531120 Theater, property operation, rental or leasing"
60,"Merritt Island, Florida, United States",Chief Medical Officer at Envolve Pharmacy Solutions - at Centene Corporation  https://www.centene.com/,,University of Pennsylvania,,Brown University,28.266278,-80.663698,Florida,Brevard,,12009.0,Centene Corporation  https://www.centene.com/,,,
61,"Bubikon, Zurich, Switzerland",Sr. Procurement Director EMEAI at Sherwin-Williams,Purchasing Director Europe at Graham Packaging,2001–2002,Production organisation and Management,Brown University,47.268292,8.819161,Zürich,Bezirk,,,Sherwin-Williams,Graham Packaging,444120 Wallpaper and wall coverings stores,"424610 Resins, plastics, merchant wholesalers"
62,"Toronto, Ontario, Canada",Founder at Kirsch Consulting Group Inc,Office of the Provincial Security Advisor at Ontario Government,Brown University,Public Policy,Brown University,43.653482,-79.383935,Ontario,,Old Toronto,,Kirsch Consulting Group Inc,Ontario Government,,
63,"New York, New York, United States",Director of Cybersecurity at Unqork,Information Security and Privacy Engineer at Unqork,Brown University,Public Affairs (MPA),Brown University,40.712728,-74.006015,New York,,New York,36061.0,Unqork,Unqork,"511210 Utility software, computer, packaged","511210 Utility software, computer, packaged"
64,"Santa Cruz, California, United States","Director, Origination & Project Development (West) at Pivot Energy",Origination and Development at Brightmark Energy,1999–2000,,Brown University,37.050096,-121.990591,California,Santa Cruz,,6087.0,Pivot Energy,Brightmark Energy,,
65,"San Francisco, California, United States",Senior Product Manager  at Hipcamp,Senior Product Manager at Yelp,Brown University,Economics,Brown University,37.779026,-122.419906,California,,San Francisco,6075.0,Hipcamp,Yelp,561510 Travel agencies,519190 Title search services (except real estate)
66,,,Contributing Editor YaleInternationalAlliance at Yale University,Yale University,"History, Mathematics",Brown University,,,,,,,,Yale University,,"511199 Yearbook (e.g., high school, college, university) publishers and printing combined"
67,Miami-Fort Lauderdale ,Vice President at USI Insurance Services,Property and Casualty Advisor at Brown & Brown Insurance,University of Central Florida,"Finance, General",Brown University,26.09474,-80.135182,Florida,Broward,Fort Lauderdale,12011.0,USI Insurance Services,Brown & Brown Insurance,524210 Life insurance agencies,524210 Life insurance agencies
68,Singapore,Co-Founder at TalentStories,"Director, Talent Acquisition - Asia Pacific at Netflix",1994–1998,,Brown University,1.357107,103.819499,,,,,TalentStories,Netflix,,"519130 Yearbook (e.g., high school, college, university) publishers, exclusively on Internet"
69,"Pflugerville, Texas, United States","Director Organizational Effectiveness, Tech at Meta","Regional Talent and Organizational Development Consultant, Americas at Google",Harvard Business School,General Management and Finance,Brown University,30.43937,-97.620004,Texas,Travis,,48453.0,Meta,Google,"541512 Systems integration design services, computer",
70,"New York, New York, United States",Enterprise Customer Success Manager at Lattice,Sr. Client Success Manager/Global Lead at DiligenceVault,Brown University,General Management,Brown University,40.712728,-74.006015,New York,,New York,36061.0,Lattice,DiligenceVault,334413 Wafers (semiconductor devices) manufacturing,
71,"Los Angeles, California, United States",Principal at You Are Here Properties LLC,Executive Director at Fate Therapeutics Inc,1983–1998,Cell & Molecular Biology,Brown University,34.053691,-118.242766,California,Los Angeles,Los Angeles,6037.0,You Are Here Properties LLC,Fate Therapeutics Inc,,541714
72, Chicago ,Co-Founder & CEO  at Real Made Foods,Senior Marketing Manager at PepsiCo,Brown University,,Brown University,41.875562,-87.624421,Illinois,Cook,Chicago,17031.0,Real Made Foods,PepsiCo,,311230 Wheat breakfast cereal manufacturing
73,"London, England, United Kingdom",Director eCommerce at Decathlon UK,Director eCommerce at Millbrook Healthcare,The University of Chicago Booth School of Business,"Finance, General Management",Brown University,51.507322,-0.127647,England,,London,,Decathlon UK,Millbrook Healthcare,"451110 Uniform stores, athletic",337127 Work benches manufacturing
74,San Francisco Bay ,Chief Executive Officer at AlloVir,"Independent Director, Board of Directors at AlloVir",1997–2003,"Internal Medicine, Infectious Diseases",Brown University,37.714029,-122.307794,California,San Mateo,,6081.0,AlloVir,AlloVir,325414 Virus vaccines manufacturing,325414 Virus vaccines manufacturing
75,"Chapel Hill, North Carolina, United States",Co-Founder & CTO at Own Up,Software Engineer at Ableton,1997–2001,Computer Science,Brown University,35.913154,-79.05578,North Carolina,Orange,,37135.0,Own Up,Ableton,522291 Student loan companies,"541512 Systems integration design services, computer"
76,"New York, New York, United States",CEO at A Place for Mom,CEO at TravelClick,Columbia University - Columbia Business School,Marketing/Finance,Brown University,40.712728,-74.006015,New York,,New York,36061.0,A Place for Mom,TravelClick,"624190 Welfare service centers, multi-program","541511 Web (i.e., Internet) page design services, custom"
77,"Los Angeles, California, United States",CEO and Co-Founder at Yumi,"Director at SierraConstellation Partners, LLC",Brown University,Mathematics and Economics,Brown University,34.053691,-118.242766,California,Los Angeles,Los Angeles,6037.0,Yumi,"SierraConstellation Partners, LLC",999990,
78,"New York, New York, United States",Director of New Commerce at Nike,Director of Strategy for Nike Direct (DTC) at Nike,Massachusetts Institute of Technology,Entrepreneurship/Entrepreneurial Studies,Brown University,40.712728,-74.006015,New York,,New York,36061.0,Nike,Nike,"315240 Windbreakers, women's, girls', and infants', cut and sewn from purchased fabric (except apparel contractors)","315240 Windbreakers, women's, girls', and infants', cut and sewn from purchased fabric (except apparel contractors)"
79,"Washington,  of Columbia, United States",CEO & Co-Founder at Optoro,CEO & Co-Founder at eSpot,2000–2004,Business Economics,Brown University,38.895037,-77.036543,District of Columbia,,Washington,,Optoro,eSpot,,"711510 Writers, independent (freelance)"
80,"Cambridge, Massachusetts, United States","Co-Founder, CTO at Wistia, Inc.",Developer at AgencyPort,Education (same page),Computer Engineering,Brown University,42.3751,-71.105616,Massachusetts,Middlesex,Cambridge,25017.0,"Wistia, Inc.",AgencyPort,,"511210 Utility software, computer, packaged"
81,New York City  ,CEO at Inman News,COO at Gawker Media,University of Michigan Law School,,Brown University,40.712728,-74.006015,New York,,New York,36061.0,Inman News,Gawker Media,,"454390 Water softener service providers, direct selling"
82,"Cincinnati, Ohio, United States",Founder and CEO at RedCircle,Senior Engineering Manager - Communications Platform at Uber,2005–2008,Electrical Engineering,Brown University,39.101454,-84.51246,Ohio,Hamilton,Cincinnati,39061.0,RedCircle,Uber,,485999 Vanpool operation
83,San Francisco Bay ,"Digital ABM Manager at Okta, Inc.","Marketing Manager at Okta, Inc.",Brown University,"Economics, Political Science",Brown University,37.714029,-122.307794,California,San Mateo,,6081.0,"Okta, Inc.","Okta, Inc.","541511 Web (i.e., Internet) page design services, custom","541511 Web (i.e., Internet) page design services, custom"
84,"Oakland, California, United States",Chief Technology Officer at On a Sabbatical!,Chief Technology Officer at AppDynamics,1991–1996,Computer Science,Brown University,37.804456,-122.271356,California,Alameda,Oakland,6001.0,On a Sabbatical!,AppDynamics,,812990 Wedding planning services
85, Boston,CEO at Willie's Superbrew,Research Affiliate at MIT Media Lab Department of Synthetic Neurobiology,Brown University,Cognitive Neuroscience,Brown University,42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025.0,Willie's Superbrew,MIT Media Lab Department of Synthetic Neurobiology,,
86,"Redwood City, California, United States",Co-Founder and Chief Executive Officer at Kriya Therapeutics,Chief Business Officer at Axovant Sciences,Harvard University,Economics,Brown University,37.486324,-122.232523,California,San Mateo,Redwood City,6081.0,Kriya Therapeutics,Axovant Sciences,325414 Virus vaccines manufacturing,541714
87,"Boston, Massachusetts, United States","Vice President, Digital Health at Boston Children's Hospital at Boston Children's Hospital","Senior Director, Strategy & Digital Innovation at Boston Children's Hospital",Columbia University - Columbia Business School,Reproductive and Family Health,Brown University,42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025.0,Boston Children's Hospital,Boston Children's Hospital,622110 Osteopathic hospitals,622110 Osteopathic hospitals
88,"New York, New York, United States",Chief Operating Officer and Executive Vice President at BRIC (Arts & Media in Brooklyn),Managing Partner at Seneca Mudd Consulting Group,+ 2 more,"General Management, Media&Entertainment, Entrepreneurship",Brown University,40.712728,-74.006015,New York,,New York,36061.0,BRIC (Arts & Media in Brooklyn),Seneca Mudd Consulting Group,,
89,"British Columbia, Canada",Chief Executive Officer - Canada at Aryza,Director Of Operations at UBERbase.com Inc.,Loyalist College,"Architecture, Design, Drafting, Structural Design, Surveying",Brown University,55.001251,-125.002441,British Columbia,,,,Aryza,UBERbase.com Inc.,"551111 Holding companies, bank (except managing)",
90,"Montclair, New Jersey, United States",Chief Technology Officer at Braven,"Founder at Harry Li Consulting, LLC",The University of Texas at Austin,Computer Science,Brown University,40.816446,-74.221064,New Jersey,Essex,,34013.0,Braven,"Harry Li Consulting, LLC",561499 Videoconferencing services,
91,"San Francisco, California, United States",Co-Founder at Storetasker,Full Stack Engineer at x.ai,Brown University,Computer Science,Brown University,37.779026,-122.419906,California,,San Francisco,6075.0,Storetasker,x.ai,,
92,"New York, New York, United States",Chief Strategy and Innovation Officer at The Philadelphia Inquirer,"Chief Marketing Officer at Simulmedia, Inc.",Brown University,Chemistry and Philosophy,Brown University,40.712728,-74.006015,New York,,New York,36061.0,The Philadelphia Inquirer,"Simulmedia, Inc.","511110 Publishers, newspaper, combined with printing",711320 Wrestling event promoters without facilities
93,"Brooklyn, New York, United States",Founder & CEO at Q Mixers,Director of Rebuilding Initiatives at Alliance for Downtown New York,Yale University - Yale School of Management,Public Policy,Brown University,40.652601,-73.949721,New York,,,,Q Mixers,Alliance for Downtown New York,,813910 Wholesalers' associations
94,"Chappaqua, New York, United States","Managing Director, Infrastructure, Utilities & Renewables at Evercore","Managing Director, Transportation & Infrastructure at Evercore",Education (same page),,Brown University,41.160766,-73.76802,New York,Westchester,,36119.0,Evercore,Evercore,"523930 Investment advisory services, customized, fees paid by client","523930 Investment advisory services, customized, fees paid by client"
