,current_location,current_work,previous_work,latest_Education,major,search_school,coordinate,state,county,city,fips
21,"Riverside, California, United States","Co-Founder at Brand Purpose, LLC","Instructor, Marketing and Business Writing at University of Redlands","University of California, Riverside",Liberal Studies (Chemistry and Psychology),"University of California, Riverside","(33.9459413, -117.41024442439222)",California,Riverside,Riverside,6065
22,"Belo Horizonte, Minas Gerais, Brazil",CEO at MIP CONSTRUTORA,Board Member at MIP ENGENHARIA S/A,IBGC - Instituto Brasileiro de Governança Corporativa,Corporate Governance,"University of California, Riverside","(-19.9227318, -43.9450948)",Minas Gerais,Região Metropolitana de Belo,Belo Horizonte,
23,"Münster, North Rhine-Westphalia, Germany",Founder & COO at BitBurst GmbH,Dualer Student at Saint-Gobain Weber,FOM Hochschule für Oekonomie & Management,Master Business Consulting & Digital Management (MS),"University of California, Riverside","(51.9625101, 7.6251879)",Nordrhein-Westfalen,,Münster,
24,"Los Angeles, California, United States",Co-Founder at Stealth Startup,Sales Executive at NEXT Trucking,"University of California, Riverside",Psychology,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
25,"Downey, California, United States",Executive Vice President Of Operations at TBD,Vice President of operations at FiveStar Gourmet Foods,"University of California, Riverside",6 sigma - Black Belt,"University of California, Riverside","(33.942215, -118.1235646)",California,Los Angeles,Downey,6037
26,"Santa Monica, California, United States",Director of E-Commerce at JAXXON,Digital Asset Management Coordinator at RPA,General Assembly,UX Design,"University of California, Riverside","(34.0194704, -118.4912273)",California,Los Angeles,Santa Monica,6037
27,"Newport Beach, California, United States",President & CEO at Vino Vault LLC,Founder/Business Unit Leader at Iron Mountain Entertainment Services,"University of California, Riverside",International Business,"University of California, Riverside","(33.6170092, -117.9294401)",California,Orange,Newport Beach,6059
28,Los Angeles  ,Chief Operating Officer at IT Retail,Product Manager at IT Retail,"University of California, Riverside",Marketing,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
29, Chicago ,"VP, Chief Marketing Officer at DemandTec by Acoustic",Chief Marketing Officer at GrocerKey,1997–2001,Political Science,"University of California, Riverside","(41.8755616, -87.6244212)",Illinois,Cook,Chicago,17031
30,"Riverside, California, United States",Vice President of Operations/Chief Operating Officer at Riverside Community Health Foundation,Health Care Social Worker at Riverside County Department of Public Health,California Baptist University,Sociology/Ethnic Studies Joint Major,"University of California, Riverside","(33.9459413, -117.41024442439222)",California,Riverside,Riverside,6065
31,"Los Angeles, California, United States",Co-Founder at Infura,Director of Site Reliability Engineering at KEYPR,Education (same page),Computer Science,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
32,Los Angeles  ,CEO / Director of Additive Testing at ASTRO Mechanical Testing Laboratory,"Associate Professor of Engineering, Computer Science & Technology at California State University, Los Angeles",University of Southern California,Astronautical Engineering,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
33,"San Diego, California, United States",Chairman and CEO at ECG Management Consultants,Director at Sharp HealthCare,1995–1997,Economics,"University of California, Riverside","(32.7174202, -117.1627728)",California,San Diego,San Diego,6073
34,"Los Angeles, California, United States",Co-Founder at Zentap,Chief Marketing Officer at Zentap,Yellow,Strategie d'Entreprise,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
35,Los Angeles  ,Chief Sales Officer (CSO) at Hawaiian Host Group,Senior Vice President Of Sales at Hawaiian Host Group,"Pepperdine University, The George L. Graziadio School of Business and Management",Environmental Engineering,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
36,"Anaheim, California, United States",Director of Marketing at Texas Ballet Theater,Mentor at M ACCELERATOR,1998–2000,Organization/Strategy,"University of California, Riverside","(33.8347516, -117.911732)",California,Orange,Anaheim,6059
37,"Orange County, California, United States",Global Digital Marketing Project Manager at Moxa,"Internet and E-Commerce Specialist at Moxa Americas, Inc.",2007,Business Administration,"University of California, Riverside","(33.7500378, -117.8704931)",California,Orange,,6059
38,"Los Angeles, California, United States",CFO at SKIMS,Private Equity CFO at Private Equity,University of Southern California,Theology/Theological Studies,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
39, Sydney ,Head of Digital Analytics & Optimisation at Coles,"Senior Manager, Insights & Analytics at Woolworths Supermarkets",Universidad Rey Juan Carlos,"Business Administration, Bilingual","University of California, Riverside","(-33.8548157, 151.2164539)",New South Wales,,Sydney,
40,Los Angeles  ,Founding Engineer at Cleanlab,"Senior Director, Data Science & AI/ML at DIRECTV",Georgia Institute of Technology,Computer Science,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
41,"San Mateo, California, United States",Chief Information Security Officer - CISO at Coupa Software,VP of Infrastructure & CISO (various roles) at SurveyMonkey,UC Riverside,Business Administration,"University of California, Riverside","(37.496904, -122.3330573)",California,San Mateo,,6081
42,Memphis  ,Continuous Improvement Manager at Hunter Fan Company,"Technical Manager - Engineering, Quality Assurance, Extrusion & Thermoforming at A.L.P. Lighting Components",Carnegie Mellon University,Physics - Measurement & Control,"University of California, Riverside","(35.1335022, -89.9668758)",Tennessee,Shelby,Memphis,47157
43,"New York, New York, United States",Founder and CEO at Hairtelligence,MBA Intern at Seafair,The Wharton School,"Business Administration, Arts Management","University of California, Riverside","(40.7127281, -74.0060152)",New York,,New York,36061
44,Los Angeles  ,"President at Accelerated Logistics LLC, AMAZON DSP",,University of Southern California,"Business Administration and Management, General","University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
45,Los Angeles  ,Head of Business Development at Shopmonkey,"Senior Director, Business Development & Partner Management at LegalZoom","University of California, Riverside",American History (United States),"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
46,San Francisco Bay ,"Senior Manager, Global Campaign Strategy and Integrated Marketing  at Splunk","Senior Manager, Competitive Campaign Marketing at Adobe","University of California, Riverside",focus on marketing,"University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,6081
47,"Boulder, Colorado, United States",Vice President Of Retail at Fjällräven North America,GM of Retail Operations at Rip Curl,University of Arizona,"Business Administration and Management, General","University of California, Riverside","(40.0149856, -105.270545)",Colorado,Boulder,Boulder,8013
48,"Rancho Mirage, California, United States",Senior Director and Chief Medical Information Officer at Cerner Corporation,Physician Executive at Cerner Corporation,David Geffen School of Medicine at UCLA,Medicine,"University of California, Riverside","(33.770859, -116.42687402345575)",California,Riverside,,6065
49,,"Web Team Manager, Web Developer at Sega of America, Inc.",Art Director at Darick Publishing,LearningFuze,Accelerated Web Development Course,"University of California, Riverside",,,,,
50,"Santa Monica, California, United States",VP of Product at TigerConnect,"Sr. Director, Product Management at TigerConnect",Columbia University in the City of New York,Strategic Communications,"University of California, Riverside","(34.0194704, -118.4912273)",California,Los Angeles,Santa Monica,6037
51,"Kirkland, Washington, United States",Senior Global Brand Marketing Manager at Wizards of the Coast,Global Brand Marketing Manager Magic The Gathering at Wizards of the Coast,California State University-San Bernardino,"Marketing/Marketing Management, General","University of California, Riverside","(47.6859573, -122.1920249)",Washington,King,,53033
52,"San Jose, California, United States",Engineering Director at KLA,"Manager, Principal Optics Engineer at KLA",University of Arizona,Optical Sciences,"University of California, Riverside","(37.3361905, -121.890583)",California,Santa Clara,San Jose,6085
53,Los Angeles  ,Sr. Director of Sales & Marketing at iBUYPOWER,Director of Sales & Marketing at iBUYPOWER,"University of California, Riverside","Business Administration and Management, General","University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
54,"New York, New York, United States","Head of Partnerships, Lean In at Sheryl Sandberg & Dave Goldberg Family Foundation","Senior Director, Global Corporate Partnerships at Global Citizen",New York University,Liberal Arts and Sciences/Liberal Studies,"University of California, Riverside","(40.7127281, -74.0060152)",New York,,New York,36061
55,"Los Angeles, California, United States",Owner and Founder at Andrews Family Law & Mediation Offices,"Co-Owner and Founding Partner at Jubelt & Andrews, A Professional Corporation",UC Davis,Law,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
56,"Los Angeles, California, United States",Procurement Coordinator at Ruggable,Procurement Specialist at FastXchange Inc.,"University of California, Riverside",Economics / Administrative Studies,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
57,"Mechanicsville, Virginia, United States",Director of Planning and Purchasing at CarrierEnterprise,Operation Manager at Invensys Controls,"University of California, Riverside",CPIM  CPM,"University of California, Riverside","(37.6276923, -77.35381329976744)",Virginia,Hanover,,51085
58,"Columbus, Ohio  ",Sr Sourcing Manager at ascena,Sourcing Manager at ascena,2006–2007,Product Development,"University of California, Riverside","(39.9622601, -83.0007065)",Ohio,Franklin,Columbus,39049
59, Boston,Research Scientist II at Novartis Institutes for BioMedical Research (NIBR),Research Scientist I at Novartis Institutes for BioMedical Research (NIBR),Harvard Extension School,Bioengineering: Biotechnology,"University of California, Riverside","(42.3602534, -71.0582912)",Massachusetts,Suffolk,Boston,25025
60,Los Angeles  ,Global Marketing Technology Program Manager at Apple,"Marketing Analytics Manager, Apple TV app at Apple","University of California, Riverside",Business Administration,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
61,"San Francisco, California, United States",Head of Sales Compensation at Fast,Head of Sales Compensation at Gusto,2008–2010,"Economics, Administrative Studies; Finance & Management Information Systems","University of California, Riverside","(37.7790262, -122.419906)",California,,San Francisco,6075
62,"Los Angeles, California, United States",Member at Chief,"Sr. Principal Client Partner, Key Accounts at TripAdvisor",2000–2004,Management Information Systems,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
63,"Buena Park, California, United States","Chief Financial Officer at Kimco Staffing, KTimeHR, Advantex Professional Services and Mediquest",Vice President - Corporate Controller at Universal Services of America,Education (same page),Business,"University of California, Riverside","(33.870413, -117.9962165)",California,Orange,,6059
64,"Burbank, California, United States","Vice President, Global Marketing at Splash Damage","Vice President, Global Marketing at Athlon Games, Inc.",2010–2013,Business,"University of California, Riverside","(34.1816482, -118.3258554)",California,Los Angeles,Burbank,6037
65,"Tustin, California, United States",Director of Logistics at Yamaha Corporation of America,Director of Logistics at toshiba,"University of California, Riverside",Business,"University of California, Riverside","(33.7458511, -117.826166)",California,Orange,,6059
66,United States,Director of Basebuilding at Fair Work Center,Enforcement Program Manager  at National Domestic Workers Alliance,CUNY School of Labor and Urban Studies,Labor Studies,"University of California, Riverside","(39.7837304, -100.445882)",,,,
67,"Rockville, Maryland, United States","SVP Real World Evidence and Head, Inspire HealthJourney at Inspire","SVP, Marketing at Inspire",The Johns Hopkins University,Biotechnology - Business Enterprise & Regulatory Affairs,"University of California, Riverside","(39.0817985, -77.1516844)",Maryland,Montgomery,,24031
68,"Fairfax County, Virginia, United States",Director of Finance at MSA Security,"Senior Finance Manager at Huntington Ingalls Industries, Inc.",University of Delaware,"Business Administration and Management, General","University of California, Riverside","(38.8156356, -77.2836849)",Virginia,Fairfax,,51059
69,"Danville, California, United States","R&D Lead (IoT, Data Science, Machine Learning) at GE Research",Application Engineer at Linear Technology,"University of California, Riverside",Computer Science (Wireless Networks),"University of California, Riverside","(37.8215929, -121.99996)",California,Contra Costa,,6013
70,,Administrative Business Partner at Google,Training Coordinator II (Nelson Staffing) at Google,"University of California, Riverside",History,"University of California, Riverside",,,,,
71,United States,Director Patient Financial Services at San Antonio Regional Hospital,Diector Business Services at Pomona Valley Hospital Medical Center,University of Redlands,Organizational Leadership,"University of California, Riverside","(39.7837304, -100.445882)",,,,
72,"San Marino, California, United States",Lecturer in Environmental History at Caltech,Associate  Research Professor of History at Claremont Graduate University,"University of California, Riverside",History,"University of California, Riverside","(34.1215947, -118.1057394)",California,Los Angeles,,6037
73,"Gilbert, Arizona, United States",Senior Manager Channel Enablement at Arctic Wolf,Global Channel Sales Enablement at Gigamon,Education (same page),Economics,"University of California, Riverside","(33.3527632, -111.7890373)",Arizona,Maricopa,Gilbert,4013
74,"San Jose, California, United States","Director, Platform Operations at NBCUniversal Media, LLC","Manager, Platform Operations - Intellectual Property:  Analytics, Operations and Technology at NBCUniversal Media, LLC","University of California, Riverside",Law & Society; Anthropology,"University of California, Riverside","(37.3361905, -121.890583)",California,Santa Clara,San Jose,6085
75,"Riverside, California, United States","Executive Vice President, Chief Strategy Officer at Altura Credit Union","Senior Vice President, Technology at Altura Credit Union",California State University-San Bernardino,"Business Administration and Management, General","University of California, Riverside","(33.9459413, -117.41024442439222)",California,Riverside,Riverside,6065
76,,Regional Vice President of New Partners & Business Development at Wiley University Services,Vice President of Corporate Partnerships at Pearson,General Assembly,Marketing,"University of California, Riverside",,,,,
77,"Orange County, California, United States","Executive Advisor at University of California, Riverside",Principal at Citadel Consulting,The George Washington University,International/Global Studies,"University of California, Riverside","(33.7500378, -117.8704931)",California,Orange,,6059
78,"Plano, Texas, United States",Lead Product Manager - Wearables at Samsung Electronics America,Marketing Manager - Mobile at Samsung Electronics America,Cornell Johnson Graduate School of Management,"Business Administration, Marketing","University of California, Riverside","(33.0136764, -96.6925096)",Texas,Collin,Plano,48085
79,,"Assistant Manager, Site Experience at Urban Decay Cosmetics",Digital Marketing Specialist at Skechers,"University of California, Riverside","Media and Cultural Studies, Business Administration Minor","University of California, Riverside",,,,,
80,"Lille, Hauts-de-France, France",CEO & Founder at WheelOfWork,Regional Manager at SThree,"University of California, Riverside","Business Administration and Management, General","University of California, Riverside","(50.6365654, 3.0635282)",Hauts-de-France,Nord,Lille,
81,"Costa Mesa, California, United States",Vice President Business Solutions at Kingsbridge Technologies,Regional Director at Resources Global Professionals,"University of California, Irvine - The Paul Merage School of Business","Business Administration and Management, General","University of California, Riverside","(33.6636611, -117.91946518435181)",California,Orange,Costa Mesa,6059
82,"Los Angeles, California, United States",Executive Vice President at U.S. Bank,"SVP, National Managing Director Strategic Markets and Affordable Home Lending at U.S. Bank",1975–1980,History,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
83,Los Angeles  ,"Chief Strategy Officer (CSO) at Community Health Systems, Inc. (FQHC)","Chief Operating Officer at Community Health Systems, Inc. (FQHC)",Claremont Graduate University,Health Services Leadership and Administration,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
84,"San Diego, California, United States","Co Founder & Product Owner at Cordial, Inc.",Founder at Bandfarm Inc.,1988–1992,English,"University of California, Riverside","(32.7174202, -117.1627728)",California,San Diego,San Diego,6073
85,"San Diego, California, United States",Director of Operations at Bird Rock Systems,Operations Manager at Bird Rock Systems,"University of California, Riverside",Economics,"University of California, Riverside","(32.7174202, -117.1627728)",California,San Diego,San Diego,6073
86,Los Angeles  ,"Senior Director of Strategic Sourcing at Electric Power Systems, Inc.","Commodity Procurement Lead, Electronics at Meggitt","University of California, Riverside",Business Administration,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
87,Los Angeles  ,Director of Product Design at BlackLine,UX/Design Strategist at Freelance,Art Center College of Design,Media Design,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
88,"Hanford, California, United States",President and CEO at Heritage Realtors and Property Management,,"University of California, Berkeley",Political Science,"University of California, Riverside","(36.3274502, -119.6456844)",California,Kings,Hanford,6031
89,"Boston, Massachusetts, United States",Chief Digital Officer at The Hoffman Agency at The Hoffman Agency,SVP | GM Boston | Digital Practice Lead  at LEWIS Global Communications,Azusa Pacific University,Organizational Management,"University of California, Riverside","(42.3602534, -71.0582912)",Massachusetts,Suffolk,Boston,25025
90,"Orange County, California, United States","Sales Development Manager at Veritone, Inc.","Sales Development Representative at Veritone, Inc.","University of California, Riverside",Business Administration,"University of California, Riverside","(33.7500378, -117.8704931)",California,Orange,,6059
91,"Los Angeles, California, United States",Founder & Chief Executive Officer at Innovative Partnerships Group,President at Premier Ventures,1999–2002,Business,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
92,"Los Angeles County, California, United States",Owner at Amalfi Estates,Owner at Amalfi Mortgage,Harvard Business School,Advanced Negotiations Class,"University of California, Riverside","(34.3155072, -118.2096814)",California,Los Angeles,,6037
93,"Tustin, California, United States",Director Of Information Technology at San Bernardino City Unified School District,Assistant Director of Research & Evaluation at Lynwood Unified School District,"University of California, Riverside",Computer Science,"University of California, Riverside","(33.7458511, -117.826166)",California,Orange,,6059
94,,Procurement Specialist - Facilities and Construction at Faraday Future,"Senior Government Contracts Buyer at Woodward, Inc.","University of California, Irvine - The Paul Merage School of Business",Bachelor of Science in Business Administration - Operations and Supply Chain Management,"University of California, Riverside",,,,,
95,"Yorba Linda, California, United States",Founder & President at Red Mallard,Writer/AE/Web at Hobbs/Herder Advertising,"University of California, Riverside",Creative Writing,"University of California, Riverside","(33.8901096, -117.8249705)",California,Orange,,6059
96,"Orange County, California, United States",Senior Operations Director at Berkadia,Senior Commercial Real Estate Associate at Reliance Valuation Group,"University of California, Riverside",Economics,"University of California, Riverside","(33.7500378, -117.8704931)",California,Orange,,6059
97,Los Angeles  ,"Sr. Manager, Marketing Technology and Digital Operations at City of Hope","Manager, Digital Operations at City of Hope",University of Southern California,Masters of Communication Management,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
98,"Los Angeles, California, United States",President at MRC Creations,,2003–2008,Business Economics,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
99,"Huntington Beach, California, United States",Managing Partner at Culminate Care,Chief Financial Officer at 360 Clinic,California State University-Fullerton,Accounting,"University of California, Riverside","(33.6783336, -118.0000166)",California,Orange,Huntington Beach,6059
100,,Mortgage Recruiter and Licensing Expert | Loan Originator at Secure One Capital Corp. NMLS 239738,Licensing Manager│Employee Training│Results-Driven│Start-Up Operations│New Business Development at Network Capital Funding Corporation,"University of California, Riverside",Major Law and Society│Minor in History with a Focus on Arts & Humanities,"University of California, Riverside",,,,,
101,Los Angeles  ,Product  at Luxury Presence,Co-founder & CEO at WorkClout (YC W19),Y Combinator,"Business Administration, Information Systems; Minor in Statistics","University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
102,"Seattle, Washington, United States",Senior Vice President - Sales & Service  at Seattle Kraken,Revenue  at NHL Seattle,"Pepperdine University, The George L. Graziadio School of Business and Management",Business,"University of California, Riverside","(47.6038321, -122.3300624)",Washington,King,Seattle,53033
103,,Operations Coordinator at FabFitFun,Operations at Cali Raw Nutrition,"University of California, Riverside","Economics, Admin studies","University of California, Riverside",,,,,
104,United States,Manager of Information Systems at David Geffen School of Medicine at UCLA,Application Support Engineer at Cayuse (Formerly NTM Consulting Services),"University of California, Riverside",Mathematics,"University of California, Riverside","(39.7837304, -100.445882)",,,,
105,"Rancho Cucamonga, California, United States",Director Of Operations Parts and Sales N.A. at KalPartz,Aftermarket Parts Regional Sales and Operations Manager at Utility Trailer Manufacturing Company,California State University-San Bernardino,,"University of California, Riverside","(34.1279268, -117.56432205849399)",California,San Bernardino,Rancho Cucamonga,6071
106,,"Technical Recruiting, Games at Epic Games","Senior University Recruiting Partner (Software, Tech, Data Science) at Rivian","University of California, Riverside",Human Resources/Labor Relations & Sociology,"University of California, Riverside",,,,,
107,,,Data Science Fellow - Data Science Career Track at Springboard,"University of California, Riverside",Applied Mathematics and Statistics,"University of California, Riverside",,,,,
108,"Chicago, Illinois, United States","Head Of Commercial & Business Development  at Preferred Medicine, Inc.",Strategic Advisor at Allcyte,2010–2012,Finance,"University of California, Riverside","(41.8755616, -87.6244212)",Illinois,Cook,Chicago,17031
109, Tampa Bay ,Executive Director - Applied Economic Research for Operations at Chewy,Head of Data Science & Innovation - Supply Chain at Cisco,Télécom SudParis,"Statistics, Quantitative Finance","University of California, Riverside","(27.6886419, -82.5723193)",Florida,Hillsborough,,12057
110,Los Angeles  ,"VP, Influencer & Content Strategy, ION at Ayzenberg","Senior Manager, Influencer Activations at Machinima",2003–2007,Marketing / Sociology,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
111,,Product Manager at Confidential (Management Consulting),Vice President Of Strategic Planning at Confidential,California State University-Long Beach,Human Resources Management and Services,"University of California, Riverside",,,,,
112,"Orange County, California, United States",Chief Headhuntress at Atalent Services,Independent Sourcer at Independent,"University of California, Riverside",,"University of California, Riverside","(33.7500378, -117.8704931)",California,Orange,,6059
113,,First Vice President- Director of Talent Acquisition at Bank of Hope,Vice President - Recruiting Manager at East West Bank,UC Riverside,Economics,"University of California, Riverside",,,,,
114,"Portland, Oregon  ",Director Data Science at Nike,Senior Director Measurement Science at The Nielsen Company,+ 4 more,Finance (PhD candidate) and Statistics,"University of California, Riverside","(45.5202471, -122.6741949)",Oregon,Multnomah,Portland,41051
115,,,"Clinical Trial Administrator at Arena Pharmaceuticals, Inc.",The George Washington University,Health/Health Care Administration/Management,"University of California, Riverside",,,,,
116,"New York, New York, United States","Senior Vice President, Head of Customer Success at VTS",Senior Vice President and Head Of Customer Success & Support at Medidata Solutions,2000–2003,"Strategy, Marketing, Finance","University of California, Riverside","(40.7127281, -74.0060152)",New York,,New York,36061
117,Las Vegas  ,CEO & Founder at HUSLN,"Director, Engineering & Innovation at Transurban",2008–2010,Electrical Engineering,"University of California, Riverside","(36.1672559, -115.148516)",Nevada,Clark,Las Vegas,32003
118,"Los Angeles, California, United States",Social Media Digital Marketing Dir. at theBalm Cosmetics,Digital Content Manager | Ardell Beauty at American International Industries,"University of California, Riverside","Business Administration, Marketing","University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
119,"Berkeley, California, United States",Chief Sustainability Officer at Coatue Management,Operating Partner - Sustainability at NextWorld Evergreen,1997–2002,Environmental Toxicology,"University of California, Riverside","(37.8753497, -122.23963364918777)",California,Alameda,Berkeley,6001
120,"Riverside, California, United States",President/Founder at Nicole Rand Professional Services,Client Relations Specialist at Riverside Personnel Services - The Office And Accounting Staffing Specialist,University of La Verne,Psychology,"University of California, Riverside","(33.9459413, -117.41024442439222)",California,Riverside,Riverside,6065
121,"Buena Park, California, United States",Healthcare Finance at Healthcare Consultant,"Director of Finance at Anthem, Inc.","California State University-Fullerton, Mihaylo College of Business and Economics",MBA WITH SPECIALIZATION IN ACCOUNTING,"University of California, Riverside","(33.870413, -117.9962165)",California,Orange,,6059
122,,,Advanced Client Solutions Associate at Bank of America,"University of California, Riverside",History/Administrative Studies (Concentrations in Marketing and U.S. History),"University of California, Riverside",,,,,
123,San Francisco Bay ,"Senior Sales Development Representative (Outbound, Mid-Market) at Asana",Sales Development Representative (Inbound) at Asana,Syracuse University - Maxwell School,Sociology,"University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,6081
124, Paris  ,Business Development Representative at PlayPlay,Project Manager at Stellantis (ex Groupe PSA),PSB Paris School of Business,Digital Business,"University of California, Riverside","(48.8588897, 2.3200410217200766)",Île-de-France,Paris,,
