,current_location,current_work,previous_work,latest_Education,major,search_school,current_company,previous_company,current_company_industry,previous_company_industry,current_NAICS,previous_NAICS,current_NAICS_title,current_avg_salary,previous_NAICS_title,latitude,longitude,state,county,city,fips
17,New York City  ,"Engagement Planning & Production, Hematology at Bristol Myers Squibb","Director of Agency Operations at Marketsmith, Inc.",Penn State University,"Journalism, English-Writing & Editing (minor)",Pennsylvania State,Bristol Myers Squibb,"Marketsmith, Inc.",325412 Zinc oxide medicinal preparations manufacturing,541613 Sales management consulting services,31-33,54,Manufacturing,69174.562,"Professional, Scientific, and Technical Services",40.712728,-74.006015,New York,,New York,36061
19,"West Chester, Pennsylvania, United States",Vice President of Sales at Montrose Environmental Group,"Senior Vice President, Regional Client Operations Director at Weston Solutions, Inc.",Penn State University,Geoscience (1989),Pennsylvania State,Montrose Environmental Group,"Weston Solutions, Inc.",541620 Site remediation consulting services,541620 Site remediation consulting services,54,54,"Professional, Scientific, and Technical Services",77645.346,"Professional, Scientific, and Technical Services",39.959721,-75.605964,Pennsylvania,Chester,,42029
20,"Miami Beach, Florida, United States",President at Miami Real Estate Trends,Real Estate Broker at Keller Willams Realty,Mansfield University of Pennsylvania,Business Admin.,Pennsylvania State,Miami Real Estate Trends,Keller Willams Realty,,,,,,,,25.79292,-80.135301,Florida,Miami-Dade,Miami Beach,12086
21,State College-DuBois ,Founder at WeConnect,Quality Assurance Intern at Oigetit Fake News Filter,Penn State University,Industrial Engineering,Pennsylvania State,WeConnect,Oigetit Fake News Filter,517311,,51,,Information,73855.595,,41.127271,-78.751431,Pennsylvania,Clearfield,,42033
22,"New York, New York, United States","SVP, Data Privacy and Analytics Operations at Bank of America","SVP, Cloud Risk, Security and Regulatory Compliance Governance at Bank of America",Penn State University,Computer Science,Pennsylvania State,Bank of America,Bank of America,522110 State commercial banks,522110 State commercial banks,52,52,Finance and Insurance,80163.492,Finance and Insurance,40.712728,-74.006015,New York,,New York,36061
23, Philadelphia,Director of Construction Innovation at IMC Construction,Sr. VDC Manager - Mid Atlantic Division at Gilbane Building Company,The Pennsylvania State University,Architectural Engineering,Pennsylvania State,IMC Construction,Gilbane Building Company,,561110 Office management services,,56,,,Administrative and Support and Waste Management and Remediation Services,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
24,"Los Angeles, California, United States",Director - Managing Network Product & Strategic Planning at Verizon,Director at DIRECTV,University of Oxford,"Major Programme Management, Keble College",Pennsylvania State,Verizon,DIRECTV,517312,517312,51,51,Information,73855.595,Information,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
25,"State College, Pennsylvania, United States",Founder at ARGOLYTICS,"Commercial Sales Manager, Americas at Minitab",Penn State World Campus,Applied Statistics,Pennsylvania State,ARGOLYTICS,Minitab,,,,,,,,40.79445,-77.861639,Pennsylvania,Centre,State College,42027
27, Philadelphia,"Vice President, Strategic Initiatives at Allied Mortgage Group","Vice President at New Penn Financial, LLC",Penn State University,Economics,Pennsylvania State,Allied Mortgage Group,"New Penn Financial, LLC",522292 Reverse mortgage lending,522390 Travelers' check issuance services,52,52,Finance and Insurance,80163.492,Finance and Insurance,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
28,Miami-Fort Lauderdale ,Owner at Fairfax Group LLC,"President, Sales and Marketing North America at Greenlane Holdings, Inc.",Penn State University,,Pennsylvania State,Fairfax Group LLC,"Greenlane Holdings, Inc.",541618 Utilities management consulting services,453991 Tobacco stores,54,44-45,"Professional, Scientific, and Technical Services",77645.346,Retail Trade,26.09474,-80.135182,Florida,Broward,Fort Lauderdale,12011
29,"Seattle, Washington, United States","Director, Customer Experience Analytics at Coinbase","Head of Marketing & Analytics, Prime Video at Amazon",Penn State University,Marketing,Pennsylvania State,Coinbase,Amazon,"523130 Trading companies, commodity contracts",,52,,Finance and Insurance,80163.492,,47.603832,-122.330062,Washington,King,Seattle,53033
30,Los Angeles  ,Vuejs/ReactJS/Liquid/ Ruby on Rails Shopify Expert at Multiple Companies,React Developer w Ruby on Rails at America's Job Link Alliance–Technical Support,Penn State University,"General Science, Economics",Pennsylvania State,Multiple Companies,America's Job Link Alliance–Technical Support,,,,,,,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
31,"San Jose, California, United States","Director, Head of Data Science at Cruise","Head of Data Science, Driver and Fleet Tech at Lyft",+ 1 more,Operations Research,Pennsylvania State,Cruise,Lyft,483212 Water taxi services,,48-49,,Transportation and Warehousing,65503.789,,37.33619,-121.890583,California,Santa Clara,San Jose,06085
32, Chicago ,"Manager, Customer Experience at Alt",Account Executive at 4Degrees,Penn State University,Economics and Advertising,Pennsylvania State,Alt,4Degrees,488510 Shipping agents (freight forwarding),,48-49,,Transportation and Warehousing,65503.789,,41.875562,-87.624421,Illinois,Cook,Chicago,17031
33,"Cary, North Carolina, United States","Hands-On Full-Stack Software Architect | Principal Software Engineer at Advanced Software Enterprises, Inc.","Lead Software Engineer, Enterprise Systems Architect at Deutsche Bank",University of North Carolina at Pembroke,Computer Science,Pennsylvania State,"Advanced Software Enterprises, Inc.",Deutsche Bank,,,,,,,,35.788289,-78.781208,North Carolina,Wake,Cary,37183
34,"Stroudsburg, Pennsylvania, United States","Owner and Chief Possibility Officer at Live Full Coaching, LLC",HR Director at Dove Chocolate Discoveries,CrossFit Level 1 Trainer,Food Science,Pennsylvania State,"Live Full Coaching, LLC",Dove Chocolate Discoveries,,,,,,,,40.986426,-75.194665,Pennsylvania,Monroe,,42089
35, Philadelphia,Innovation Project Manager at Turner Construction Company,"Communications Manager, Headquarters Innovation at Turner Construction Company",2002–2007,"Landscape Architecture, Business",Pennsylvania State,Turner Construction Company,Turner Construction Company,541611 Strategic planning consulting services,,54,,"Professional, Scientific, and Technical Services",77645.346,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
36, Philadelphia,"Director, Omnichannel Strategy at McCann Health",Brand Director at Procter & Gamble,Penn State University,Chemical Engineering,Pennsylvania State,McCann Health,Procter & Gamble,561920 Trade show promoters,,56,,Administrative and Support and Waste Management and Remediation Services,64366.438,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
37,"Chicago, Illinois, United States",Senior Consultant at Deloitte,"SAP S/4 HANA OTC,SCM, Manufacturing, Hi-tech, Fashion and Retail Solution Consultant at Applexus Technologies",University of Arkansas at Little Rock,Computer and Information Sciences and Support Services,Pennsylvania State,Deloitte,Applexus Technologies,541199 Trial consulting services,,54,,"Professional, Scientific, and Technical Services",77645.346,,41.875562,-87.624421,Illinois,Cook,Chicago,17031
38,New York City  ,Chief Commercial Officer (CCO) at AgriFiber Solutions LLC,Chief Sales Officer at EverGrain Ingredients LLC,Cornell University,"Microbiology, General",Pennsylvania State,AgriFiber Solutions LLC,EverGrain Ingredients LLC,,,,,,,,40.712728,-74.006015,New York,,New York,36061
39,Denver  ,"Solar Consultant at Powur, PBC",Solar Consultant at EcoMark Solar,Penn State University,Advertising,Pennsylvania State,"Powur, PBC",EcoMark Solar,,,,,,,,39.739236,-104.984862,Colorado,,Denver,08031
40,"Cambridge, Massachusetts, United States","VP of Experience Design & Research at Aledade, Inc.","Senior Director, Experience Design at Foundation Medicine",Penn State University,Clinical Psychology,Pennsylvania State,"Aledade, Inc.",Foundation Medicine,,,,,,,,42.3751,-71.105616,Massachusetts,Middlesex,Cambridge,25017
41,Metro Jacksonville,"Zone Business Manager, Service at Canon Medical Systems USA, Inc.",Service Sales Leader at GE Healthcare,"Pepperdine University, The George L. Graziadio School of Business and Management",Finance,Pennsylvania State,"Canon Medical Systems USA, Inc.",GE Healthcare,"423450 X-ray machines and parts, medical and dental, merchant wholesalers",424210 Vitamins merchant wholesalers,42,42,Wholesale Trade,68623.359,Wholesale Trade,30.315033,-81.702995,Florida,Duval,Jacksonville,12031
42,"Philadelphia, Pennsylvania, United States",Director Of Communications at CAI,"Communications Manager at Computer Aid, Inc.",Penn State University,Journalism,Pennsylvania State,CAI,"Computer Aid, Inc.",311224 Vegetable oils made in crushing mills,"541511 Web (i.e., Internet) page design services, custom",31-33,54,Manufacturing,69174.562,"Professional, Scientific, and Technical Services",39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
43,New York City  ,Business Development - Enterprise Security at Confiant Inc,Sales Development Representative at Confiant Inc,Penn State University,"Finance Major, Entrepreneurship & Innovation Minor",Pennsylvania State,Confiant Inc,Confiant Inc,"511210 Utility software, computer, packaged","511210 Utility software, computer, packaged",51,51,Information,73855.595,Information,40.712728,-74.006015,New York,,New York,36061
44, Philadelphia,Chief Technology Officer at Misfits Market,Director Of Engineering at Misfits Market,The Johns Hopkins University,Technical Management,Pennsylvania State,Misfits Market,Misfits Market,445230 Vegetable markets,445230 Vegetable markets,44-45,44-45,Retail Trade,56013.266,Retail Trade,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
46,"Allentown, Pennsylvania, United States",Chief Technology Officer at CAI,"Vice President Of Technology at Computer Aid, Inc.",Penn State University,Information Science & Technology,Pennsylvania State,CAI,"Computer Aid, Inc.",311224 Vegetable oils made in crushing mills,"541511 Web (i.e., Internet) page design services, custom",31-33,54,Manufacturing,69174.562,"Professional, Scientific, and Technical Services",40.602206,-75.471279,Pennsylvania,Lehigh,Allentown,42077
47,"Pittsburgh, Pennsylvania, United States",Vice President Of Technology at Emerson Power and Water Solutions,"Vice President, Software Development at Emerson Process Management",University of Pittsburgh,Electrical Engineering,Pennsylvania State,Emerson Power and Water Solutions,Emerson Process Management,423610 Wiring supplies merchant wholesalers,,42,,Wholesale Trade,68623.359,,40.441694,-79.990086,Pennsylvania,Allegheny,Pittsburgh,42003
48, Indianapolis,Chief Automation Officer at Change Healthcare,Co-Founder at Optivate Inc,Indiana Institute of Technology,,Pennsylvania State,Change Healthcare,Optivate Inc,518210 Web hosting,,51,,Information,73855.595,,39.768333,-86.15835,Indiana,Marion,Indianapolis,18097
49,"Marshfield, Massachusetts, United States","Ahold Delhaize USA | Retail Business Services: VP, Retail & Innovation - Information Technology at Retail Business Services",Sr. Director - Customer Engagement and Transactions at Ahold Delhaize; USA - Retail Business Services,Massachusetts Institute of Technology,Strategy & Innovation,Pennsylvania State,Retail Business Services,Ahold Delhaize; USA - Retail Business Services,561110 Office management services,,56,,Administrative and Support and Waste Management and Remediation Services,64366.438,,42.091769,-70.705594,Massachusetts,Plymouth,,25023
50, Seattle ,"Vice President, Revenue and Customer Strategy at Mapbox","Chief Product Officer, Executive Vice President at Promethean",Oct 2020–Dec 2020,Industrial and Product Design,Pennsylvania State,Mapbox,Promethean,"541511 Web (i.e., Internet) page design services, custom",522298 Short-term inventory credit lending,54,52,"Professional, Scientific, and Technical Services",77645.346,Finance and Insurance,47.603832,-122.330062,Washington,King,Seattle,53033
51,"New York, New York, United States","CEO at Alexandria Technology, Inc.","Vice President at Alexandria Technology, Inc.",1997–2001,Finance,Pennsylvania State,"Alexandria Technology, Inc.","Alexandria Technology, Inc.",,,,,,,,40.712728,-74.006015,New York,,New York,36061
52,"Austin, Texas, United States",Vice President of Platform Operations at Q2,Vice President of Client Services at Experian Consumer Services,University of Virginia,Informatics,Pennsylvania State,Q2,Experian Consumer Services,"511210 Utility software, computer, packaged",,51,,Information,73855.595,,30.271129,-97.7437,Texas,Travis,Austin,48453
53,New York City  ,CEO at EmpowerFi,Chief Marketing Officer at Inspire Federal Credit Union,Penn State University,Marketing/Advertising,Pennsylvania State,EmpowerFi,Inspire Federal Credit Union,,"522130 Unions, credit",,52,,,Finance and Insurance,40.712728,-74.006015,New York,,New York,36061
54,San Francisco Bay ,Clinical Manager at TriReme Medical/ G Vascular,Consultant - Study Manager and Clinical Trial Operations Manager  at CVS Health,The George Washington University,Healthcare MBA,Pennsylvania State,TriReme Medical/ G Vascular,CVS Health,,,,,,,,37.714029,-122.307794,California,San Mateo,,06081
55,"New York, New York, United States","Partner, Customer Strategy/Advanced Analytics at Bain & Company","EVP, Head of Marketing Science at BBDO",1996–1998,Statistics,Pennsylvania State,Bain & Company,BBDO,541611 Strategic planning consulting services,551112 Public utility holding companies,54,55,"Professional, Scientific, and Technical Services",77645.346,Management of Companies and Enterprises,40.712728,-74.006015,New York,,New York,36061
57, Boston,"CEO at Cambridge Isotope Laboratories, Inc","SVP Sales & Marketing Region Americas (RAS) at Linde Gas NA, LLC",+ 3 more,Mgmt,Pennsylvania State,"Cambridge Isotope Laboratories, Inc","Linde Gas NA, LLC","325199 Wood alcohol, synthetic, manufacturing",,31-33,,Manufacturing,69174.562,,42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025
58,"Ambler, Pennsylvania, United States",Chief Executive Officer at eLocal.com,Managing Partner at Managers Investment Group,Penn State University,Accounting,Pennsylvania State,eLocal.com,Managers Investment Group,,"523930 Investment advisory services, customized, fees paid by client",,52,,,Finance and Insurance,40.154554,-75.221565,Pennsylvania,Montgomery,,42091
59,Dallas-Fort Worth ,"Director Of Operations at Medline Industries, Inc.","Director Of Operations in Training at Medline Industries, Inc.",2008–2009,,Pennsylvania State,"Medline Industries, Inc.","Medline Industries, Inc.","423990 Wood products (e.g., chips, posts, shavings, ties) merchant wholesalers",,42,,Wholesale Trade,68623.359,,32.745316,-97.327831,Texas,Tarrant,Fort Worth,48439
60, Philadelphia,Sr. Director of Operations and Supply Chain at Cobham Advanced Electronic Solutions,"Vice President of Operations at H & W GLOBAL INDUSTRIES, INC.",1996–1997,Manufacturing Systems Engineering,Pennsylvania State,Cobham Advanced Electronic Solutions,"H & W GLOBAL INDUSTRIES, INC.","334511 Wheel position indicators and transmitters, aircraft, manufacturing",332812 Varnishing metals and metal products for the trade,31-33,31-33,Manufacturing,69174.562,Manufacturing,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
62,"Fort Washington, Pennsylvania, United States",President at Eastern Manufacturing,General Manager at CTDI,West Chester University of Pennsylvania,Mechanical Engineering,Pennsylvania State,Eastern Manufacturing,CTDI,"313110 Yarn, carpet and rug, spun from purchased fiber",,31-33,,Manufacturing,69174.562,,40.147853,-75.189724,Pennsylvania,Montgomery,Upper Dublin Township,42091
63,"Algonquin, Illinois, United States","Vice President / GM, eCommerce, Digital Marketing & Voice of Customer Practice at Vera Bradley","Co-Vice Chairman, NRF Digital Council at National Retail Federation",Penn State University,General Arts and Science,Pennsylvania State,Vera Bradley,National Retail Federation,"325620 Towelettes, premoistened, manufacturing",,31-33,,Manufacturing,69174.562,,42.16558,-88.294249,Illinois,McHenry,,17111
64,"Columbus, Ohio  ","Director, Web Strategy and Innovation  at Big Lots Stores","Director, Ecommerce Merchandising at Big Lots Stores",Penn State University,,Pennsylvania State,Big Lots Stores,Big Lots Stores,423420 Typewriters merchant wholesalers,,42,,Wholesale Trade,68623.359,,39.96226,-83.000706,Ohio,Franklin,Columbus,39049
66,Dallas-Fort Worth ,"Senior Director of Engineering, Sensors and Technology  at Leonardo DRS","Director Of Engineering, Cooled Sensors at Leonardo DRS",The Ohio State University,Physics,Pennsylvania State,Leonardo DRS,Leonardo DRS,334290 Traffic signals manufacturing,,31-33,,Manufacturing,69174.562,,32.745316,-97.327831,Texas,Tarrant,Fort Worth,48439
67,"King of Prussia, Pennsylvania, United States","CEO at Nexxt, Inc.","CEO at Nexxt, Inc.",1986–1990,Electrical Engineering,Pennsylvania State,"Nexxt, Inc.","Nexxt, Inc.",541612 Personnel management consulting services,,54,,"Professional, Scientific, and Technical Services",77645.346,,40.094762,-75.385133,Pennsylvania,Montgomery,Upper Merion Township,42091
68,"Canonsburg, Pennsylvania, United States","Director, Cloud Infrastructure Engineering & Architecture at TeleTracking Technologies, Inc.",Director of Infrastructure and Technology at MedExpress,1994–1998,Telecommunications and IT Management,Pennsylvania State,"TeleTracking Technologies, Inc.",MedExpress,"541512 Systems integration design services, computer",,54,,"Professional, Scientific, and Technical Services",77645.346,,40.26257,-80.18728,Pennsylvania,Washington,,42125
69,"New York, New York, United States",Cofounder at BrandVerge Inc.,"Director, New York Sales at AdTheorent",Penn State University,,Pennsylvania State,BrandVerge Inc.,AdTheorent,,,,,,,,40.712728,-74.006015,New York,,New York,36061
70,"Harrington Park, New Jersey, United States","Vice President, Global Head of Pharmacovigilance Operations at Sanofi","Senior Director, Global Head of PV OPs and Acting Head of Compliance and Business Management at Otsuka Pharmaceutical Companies (U.S.)",Penn State University,Genetics,Pennsylvania State,Sanofi,Otsuka Pharmaceutical Companies (U.S.),551112 Public utility holding companies,,55,,Management of Companies and Enterprises,82055.219,,40.983709,-73.97986,New Jersey,Bergen,,34003
71,"Providence, Rhode Island, United States",Member Board Of Directors at Eastern Connecticut Symphony,"Executive Vice President, Chief Innovation Officer at Chelsea Groton Bank",Penn State University,,Pennsylvania State,Eastern Connecticut Symphony,Chelsea Groton Bank,,,,,,,,41.823989,-71.412834,Rhode Island,Providence,Providence,44007
72, Minneapolis-St. Paul ,Chief Technology Officer at Calyxt,VP of Science and Innovation at WISErg Corporation,The University of Chicago Booth School of Business,Plant Biology and Biotechnology,Pennsylvania State,Calyxt,WISErg Corporation,541715,,54,,"Professional, Scientific, and Technical Services",77645.346,,44.878019,-93.220928,Minnesota,Hennepin,Minneapolis,27053
73,"Pittsburgh, Pennsylvania, United States","Director, eCommerce Analytics at DICK'S Sporting Goods","Senior Manager, Web Analytics at Dick's Sporting Goods",2005–2008,,Pennsylvania State,DICK'S Sporting Goods,Dick's Sporting Goods,448190 Uniform stores (except athletic),,44-45,,Retail Trade,56013.266,,40.441694,-79.990086,Pennsylvania,Allegheny,Pittsburgh,42003
74,San Francisco Bay ,CTO and Co-founder at LTZ Therapeutics Inc,"Director of Antibody Engineering at RubrYc Therapeutics, Inc.",+ 1 more,Molecular and Cell Biology,Pennsylvania State,LTZ Therapeutics Inc,"RubrYc Therapeutics, Inc.",,,,,,,,37.714029,-122.307794,California,San Mateo,,06081
75,"Austin, Texas, United States",CEO at BuildASign.com,"General Manager, Small Business at Dell",Northwestern University - Kellogg School of Management,Accounting,Pennsylvania State,BuildASign.com,Dell,,,,,,,,30.271129,-97.7437,Texas,Travis,Austin,48453
76,"Lancaster, Pennsylvania, United States",President/CTO at AVAIL Technology Solutions,Director of Solutions and Technology at PremierComm,1998–2000,,Pennsylvania State,AVAIL Technology Solutions,PremierComm,,,,,,,,40.03813,-76.305669,Pennsylvania,Lancaster,Lancaster,42071
77,"Redwood City, California, United States",President and CEO at Pivot,Chief Medical Officer at BÂRRX Medical,Harvard Medical School,Medicine,Pennsylvania State,Pivot,BÂRRX Medical,551112 Public utility holding companies,339112 Veterinarians' instruments and apparatus manufacturing,55,31-33,Management of Companies and Enterprises,82055.219,Manufacturing,37.486324,-122.232523,California,San Mateo,Redwood City,06081
79,"Downers Grove, Illinois, United States",Chief Executive Officer at HAVI,"President, The HAVI Group at HAVI",Pennsylvania State University,Finance,Pennsylvania State,HAVI,HAVI,"424990 Yarns, industrial, merchant wholesalers",,42,,Wholesale Trade,68623.359,,41.793682,-88.010228,Illinois,DuPage,,17043
80,San Francisco Bay ,Director Of Distribution at Peet's Coffee,Head of Distribution & Operations Americas at Cotton On Group,The Pennsylvania State University,"Business Logistics, Smeal College",Pennsylvania State,Peet's Coffee,Cotton On Group,424490 Yeast merchant wholesalers,,42,,Wholesale Trade,68623.359,,37.714029,-122.307794,California,San Mateo,,06081
81,"Boynton Beach, Florida, United States",Senior Vice President Operations at Now Optics,Vice President of Retail Operations at Now Optics,Penn State University,Organization Development and Change,Pennsylvania State,Now Optics,Now Optics,,,,,,,,26.525618,-80.066603,Florida,Palm Beach,Boynton Beach,12099
82,"Winfield, Illinois, United States",President & CEO at Blue Wave Products,President & CEO at Coco+Bean Marketing,DePaul University,Product & Business Development,Pennsylvania State,Blue Wave Products,Coco+Bean Marketing,424690 Wood treating preparations merchant wholesalers,,42,,Wholesale Trade,68623.359,,41.861696,-88.160903,Illinois,DuPage,,17043
83,New York City  ,Vice President - Innovation and Technology at Chromaflo Technologies,Managing Director & Vice President - Americas at Chromaflo Technologies,+ 3 more,Mineral Processing,Pennsylvania State,Chromaflo Technologies,Chromaflo Technologies,325130 Zinc based pigments manufacturing,,31-33,,Manufacturing,69174.562,,40.712728,-74.006015,New York,,New York,36061
84, Tampa Bay ,"Chief Information Officer at Argus Dental & Vision, Inc.",Vice President of Product Engineering and Professional Services at HealthPlan Services,1999–2001,,Pennsylvania State,"Argus Dental & Vision, Inc.",HealthPlan Services,524114 Medical service plans without providing health care services,,52,,Finance and Insurance,80163.492,,27.688642,-82.572319,Florida,Hillsborough,,12057
85,"Palm Beach Gardens, Florida, United States",Managing Director/Partner/Private Liquidity Manager at Wisehaupt Bray Asset Management at Hightower Advisors,"FVP, Portfolio Manager PIA Program at Merrill Lynch",Penn State University,"Finance, Economics",Pennsylvania State,Hightower Advisors,Merrill Lynch,541611 Strategic planning consulting services,,54,,"Professional, Scientific, and Technical Services",77645.346,,26.823395,-80.138655,Florida,Palm Beach,,12099
86,"Philadelphia, Pennsylvania, United States",President and Chief Executive Officer at Elwyn,Chief Operating Officer at Bancroft,Villanova University,Applied Psychological Research,Pennsylvania State,Elwyn,Bancroft,"624190 Welfare service centers, multi-program",,62,,Health Care and Social Assistance,76373.049,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
88,"Butler, Pennsylvania, United States",CTO at Armstrong Group of Companies,"Vice-President, Engineering & Technology at Armstrong Cable",1990–1994,Engineering,Pennsylvania State,Armstrong Group of Companies,Armstrong Cable,517911 Wireless telecommunication resellers (except satellite),,51,,Information,73855.595,,40.86108,-79.895197,Pennsylvania,Butler,,42019
89,New York City  ,Co-Founder at BlocStay Technologies,Founder at Hostlett,Penn State University,Organizational Leadership,Pennsylvania State,BlocStay Technologies,Hostlett,,,,,,,,40.712728,-74.006015,New York,,New York,36061
90,"New York, New York, United States",Chief Executive Officer & Co-Founder at Cover Whale,Project Management Office at Allied World,Penn State University,Finance,Pennsylvania State,Cover Whale,Allied World,,,,,,,,40.712728,-74.006015,New York,,New York,36061
91, Philadelphia,Chief Executive Officer at AA Media Inc,Sr. Account Executive at Atlantic Training,Penn State University,Business Administration,Pennsylvania State,AA Media Inc,Atlantic Training,,611519 Truck driving schools,,61,,,Educational Services,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
