,Unnamed: 0,current_location,current_work,previous_work,latest_Education,major,search_school,coordinate,state,county,city,latitude,longitude,fips,current_company,previous_company,current_company_industry,previous_company_industry,current_NAICS,previous_NAICS,current_NAICS_title,current_avg_salary,previous_NAICS_title
52,52,"San Jose, California, United States",Engineering Director at KLA,"Manager, Principal Optics Engineer at KLA",University of Arizona,Optical Sciences,"University of California, Riverside","(37.3361905, -121.890583)",California,Santa Clara,San Jose,37.33619,-121.890583,6085.0,KLA,KLA,"811219 Weighing equipment (e.g., balance, scales) repair and maintenance services","811219 Weighing equipment (e.g., balance, scales) repair and maintenance services",81,81,Other Services (except Public Administration),57824.628,Other Services (except Public Administration)
53,53,Los Angeles  ,Sr. Director of Sales & Marketing at iBUYPOWER,Director of Sales & Marketing at iBUYPOWER,"University of California, Riverside","Business Administration and Management, General","University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,34.053691,-118.242766,6037.0,iBUYPOWER,iBUYPOWER,,,,,,,
54,54,"New York, New York, United States","Head of Partnerships, Lean In at Sheryl Sandberg & Dave Goldberg Family Foundation","Senior Director, Global Corporate Partnerships at Global Citizen",New York University,Liberal Arts and Sciences/Liberal Studies,"University of California, Riverside","(40.7127281, -74.0060152)",New York,,New York,40.712728,-74.006015,36061.0,Sheryl Sandberg & Dave Goldberg Family Foundation,Global Citizen,,"611710 Testing services, educational",,61,,,Educational Services
55,55,"Los Angeles, California, United States",Owner and Founder at Andrews Family Law & Mediation Offices,"Co-Owner and Founding Partner at Jubelt & Andrews, A Professional Corporation",UC Davis,Law,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,34.053691,-118.242766,6037.0,Andrews Family Law & Mediation Offices,"Jubelt & Andrews, A Professional Corporation",,,,,,,
56,56,"Los Angeles, California, United States",Procurement Coordinator at Ruggable,Procurement Specialist at FastXchange Inc.,"University of California, Riverside",Economics / Administrative Studies,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,34.053691,-118.242766,6037.0,Ruggable,FastXchange Inc.,"314110 Weaving rugs, carpets, and mats","541512 Systems integration design services, computer",31-33,54,Manufacturing,69174.562,"Professional, Scientific, and Technical Services"
57,57,"Mechanicsville, Virginia, United States",Director of Planning and Purchasing at CarrierEnterprise,Operation Manager at Invensys Controls,"University of California, Riverside",CPIM  CPM,"University of California, Riverside","(37.6276923, -77.35381329976744)",Virginia,Hanover,,37.627692,-77.353813,51085.0,CarrierEnterprise,Invensys Controls,,,,,,,
58,58,"Columbus, Ohio  ",Sr Sourcing Manager at ascena,Sourcing Manager at ascena,2006–2007,Product Development,"University of California, Riverside","(39.9622601, -83.0007065)",Ohio,Franklin,Columbus,39.96226,-83.000706,39049.0,ascena,ascena,424330 Women's clothing merchant wholesalers,424330 Women's clothing merchant wholesalers,42,42,Wholesale Trade,68623.359,Wholesale Trade
59,59, Boston,Research Scientist II at Novartis Institutes for BioMedical Research (NIBR),Research Scientist I at Novartis Institutes for BioMedical Research (NIBR),Harvard Extension School,Bioengineering: Biotechnology,"University of California, Riverside","(42.3602534, -71.0582912)",Massachusetts,Suffolk,Boston,42.360253,-71.058291,25025.0,Novartis Institutes for BioMedical Research (NIBR),Novartis Institutes for BioMedical Research (NIBR),,,,,,,
60,60,Los Angeles  ,Global Marketing Technology Program Manager at Apple,"Marketing Analytics Manager, Apple TV app at Apple","University of California, Riverside",Business Administration,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,34.053691,-118.242766,6037.0,Apple,Apple,"511210 Utility software, computer, packaged","511210 Utility software, computer, packaged",51,51,Information,73855.595,Information
61,61,"San Francisco, California, United States",Head of Sales Compensation at Fast,Head of Sales Compensation at Gusto,2008–2010,"Economics, Administrative Studies; Finance & Management Information Systems","University of California, Riverside","(37.7790262, -122.419906)",California,,San Francisco,37.779026,-122.419906,6075.0,Fast,Gusto,517311,999990,51,99,Information,73855.595,"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OEWS Designation)"
62,62,"Los Angeles, California, United States",Member at Chief,"Sr. Principal Client Partner, Key Accounts at TripAdvisor",2000–2004,Management Information Systems,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,34.053691,-118.242766,6037.0,Chief,TripAdvisor,561499 Videoconferencing services,518210 Web hosting,56,51,Administrative and Support and Waste Management and Remediation Services,64366.438,Information
63,63,"Buena Park, California, United States","Chief Financial Officer at Kimco Staffing, KTimeHR, Advantex Professional Services and Mediquest",Vice President - Corporate Controller at Universal Services of America,Education (same page),Business,"University of California, Riverside","(33.870413, -117.9962165)",California,Orange,,33.870413,-117.996216,6059.0,"Kimco Staffing, KTimeHR, Advantex Professional Services and Mediquest",Universal Services of America,,561720 Window cleaning services,,56,,,Administrative and Support and Waste Management and Remediation Services
64,64,"Burbank, California, United States","Vice President, Global Marketing at Splash Damage","Vice President, Global Marketing at Athlon Games, Inc.",2010–2013,Business,"University of California, Riverside","(34.1816482, -118.3258554)",California,Los Angeles,Burbank,34.181648,-118.325855,6037.0,Splash Damage,"Athlon Games, Inc.","541511 Web (i.e., Internet) page design services, custom","541511 Web (i.e., Internet) page design services, custom",54,54,"Professional, Scientific, and Technical Services",77645.346,"Professional, Scientific, and Technical Services"
65,65,"Tustin, California, United States",Director of Logistics at Yamaha Corporation of America,Director of Logistics at toshiba,"University of California, Riverside",Business,"University of California, Riverside","(33.7458511, -117.826166)",California,Orange,,33.745851,-117.826166,6059.0,Yamaha Corporation of America,toshiba,339992 Zithers and parts manufacturing,334419 Vacuum tubes manufacturing,31-33,31-33,Manufacturing,69174.562,Manufacturing
66,66,United States,Director of Basebuilding at Fair Work Center,Enforcement Program Manager  at National Domestic Workers Alliance,CUNY School of Labor and Urban Studies,Labor Studies,"University of California, Riverside","(39.7837304, -100.445882)",,,,39.78373,-100.445882,,Fair Work Center,National Domestic Workers Alliance,,813319 World peace and understanding advocacy organizations,,81,,,Other Services (except Public Administration)
67,67,"Rockville, Maryland, United States","SVP Real World Evidence and Head, Inspire HealthJourney at Inspire","SVP, Marketing at Inspire",The Johns Hopkins University,Biotechnology - Business Enterprise & Regulatory Affairs,"University of California, Riverside","(39.0817985, -77.1516844)",Maryland,Montgomery,,39.081798,-77.151684,24031.0,Inspire,Inspire,"722511 Steak houses, full service","722511 Steak houses, full service",72,72,Accommodation and Food Services,44945.819,Accommodation and Food Services
68,68,"Fairfax County, Virginia, United States",Director of Finance at MSA Security,"Senior Finance Manager at Huntington Ingalls Industries, Inc.",University of Delaware,"Business Administration and Management, General","University of California, Riverside","(38.8156356, -77.2836849)",Virginia,Fairfax,,38.815636,-77.283685,51059.0,MSA Security,"Huntington Ingalls Industries, Inc.",561613 Armored car services,336611 Yachts built in shipyards,56,31-33,Administrative and Support and Waste Management and Remediation Services,64366.438,Manufacturing
69,69,"Danville, California, United States","R&D Lead (IoT, Data Science, Machine Learning) at GE Research",Application Engineer at Linear Technology,"University of California, Riverside",Computer Science (Wireless Networks),"University of California, Riverside","(37.8215929, -121.99996)",California,Contra Costa,,37.821593,-121.99996,6013.0,GE Research,Linear Technology,541611 Strategic planning consulting services,334413 Wafers (semiconductor devices) manufacturing,54,31-33,"Professional, Scientific, and Technical Services",77645.346,Manufacturing
70,70,,Administrative Business Partner at Google,Training Coordinator II (Nelson Staffing) at Google,"University of California, Riverside",History,"University of California, Riverside",,,,,,,,Google,Google,"541512 Systems integration design services, computer","541512 Systems integration design services, computer",54,54,"Professional, Scientific, and Technical Services",77645.346,"Professional, Scientific, and Technical Services"
71,71,United States,Director Patient Financial Services at San Antonio Regional Hospital,Diector Business Services at Pomona Valley Hospital Medical Center,University of Redlands,Organizational Leadership,"University of California, Riverside","(39.7837304, -100.445882)",,,,39.78373,-100.445882,,San Antonio Regional Hospital,Pomona Valley Hospital Medical Center,446110 Pharmacies,622110 Osteopathic hospitals,44-45,62,Retail Trade,56013.266,Health Care and Social Assistance
72,72,"San Marino, California, United States",Lecturer in Environmental History at Caltech,Associate  Research Professor of History at Claremont Graduate University,"University of California, Riverside",History,"University of California, Riverside","(34.1215947, -118.1057394)",California,Los Angeles,,34.121595,-118.105739,6037.0,Caltech,Claremont Graduate University,541618 Utilities management consulting services,611310 Universities,54,61,"Professional, Scientific, and Technical Services",77645.346,Educational Services
73,73,"Gilbert, Arizona, United States",Senior Manager Channel Enablement at Arctic Wolf,Global Channel Sales Enablement at Gigamon,Education (same page),Economics,"University of California, Riverside","(33.3527632, -111.7890373)",Arizona,Maricopa,Gilbert,33.352763,-111.789037,4013.0,Arctic Wolf,Gigamon,"541511 Web (i.e., Internet) page design services, custom","511210 Utility software, computer, packaged",54,51,"Professional, Scientific, and Technical Services",77645.346,Information
