current_location,current_work,previous_work,latest_Education,majro,search_school,Unnamed: 0
"Riverside, California, United States",Vice President of Operations/Chief Operating Officer at Riverside Community Health Foundation,Health Care Social Worker at Riverside County Department of Public Health,California Baptist University,Sociology/Ethnic Studies Joint Major,"University of California, Riverside",
"Los Angeles, California, United States",Co-Founder at Infura,Director of Site Reliability Engineering at KEYPR,Education (same page),Computer Science,"University of California, Riverside",
Los Angeles Metropolitan Area,CEO / Director of Additive Testing at ASTRO Mechanical Testing Laboratory,"Associate Professor of Engineering, Computer Science & Technology at California State University, Los Angeles",University of Southern California,Astronautical Engineering,"University of California, Riverside",
"San Diego, California, United States",Chairman and CEO at ECG Management Consultants,Director at Sharp HealthCare,1995–1997,Economics,"University of California, Riverside",
"Los Angeles, California, United States",Co-Founder at Zentap,Chief Marketing Officer at Zentap,Yellow,Strategie d'Entreprise,"University of California, Riverside",
Los Angeles Metropolitan Area,Chief Sales Officer (CSO) at Hawaiian Host Group,Senior Vice President Of Sales at Hawaiian Host Group,"Pepperdine University, The George L. Graziadio School of Business and Management",Environmental Engineering,"University of California, Riverside",
"Anaheim, California, United States",Director of Marketing at Texas Ballet Theater,Mentor at M ACCELERATOR,1998–2000,Organization/Strategy,"University of California, Riverside",
"Orange County, California, United States",Global Digital Marketing Project Manager at Moxa,"Internet and E-Commerce Specialist at Moxa Americas, Inc.",2007,Business Administration,"University of California, Riverside",
"Los Angeles, California, United States",CFO at SKIMS,Private Equity CFO at Private Equity,University of Southern California,Theology/Theological Studies,"University of California, Riverside",
Greater Sydney Area,Head of Digital Analytics & Optimisation at Coles,"Senior Manager, Insights & Analytics at Woolworths Supermarkets",Universidad Rey Juan Carlos,"Business Administration, Bilingual","University of California, Riverside",
Los Angeles Metropolitan Area,Founding Engineer at Cleanlab,"Senior Director, Data Science & AI/ML at DIRECTV",Georgia Institute of Technology,Computer Science,"University of California, Riverside",
"San Mateo, California, United States",Chief Information Security Officer - CISO at Coupa Software,VP of Infrastructure & CISO (various roles) at SurveyMonkey,UC Riverside,Business Administration,"University of California, Riverside",
Memphis Metropolitan Area,Continuous Improvement Manager at Hunter Fan Company,"Technical Manager - Engineering, Quality Assurance, Extrusion & Thermoforming at A.L.P. Lighting Components",Carnegie Mellon University,Physics - Measurement & Control,"University of California, Riverside",
"New York, New York, United States",Founder and CEO at Hairtelligence,MBA Intern at Seafair,The Wharton School,"Business Administration, Arts Management","University of California, Riverside",
Los Angeles Metropolitan Area,"President at Accelerated Logistics LLC, AMAZON DSP",,University of Southern California,"Business Administration and Management, General","University of California, Riverside",
Los Angeles Metropolitan Area,Head of Business Development at Shopmonkey,"Senior Director, Business Development & Partner Management at LegalZoom","University of California, Riverside",American History (United States),"University of California, Riverside",
San Francisco Bay Area,"Senior Manager, Global Campaign Strategy and Integrated Marketing  at Splunk","Senior Manager, Competitive Campaign Marketing at Adobe","University of California, Riverside",focus on marketing,"University of California, Riverside",
"Boulder, Colorado, United States",Vice President Of Retail at Fjällräven North America,GM of Retail Operations at Rip Curl,University of Arizona,"Business Administration and Management, General","University of California, Riverside",
"Rancho Mirage, California, United States",Senior Director and Chief Medical Information Officer at Cerner Corporation,Physician Executive at Cerner Corporation,David Geffen School of Medicine at UCLA,Medicine,"University of California, Riverside",
500+ connections,"Web Team Manager, Web Developer at Sega of America, Inc.",Art Director at Darick Publishing,LearningFuze,Accelerated Web Development Course,"University of California, Riverside",
"Santa Monica, California, United States",VP of Product at TigerConnect,"Sr. Director, Product Management at TigerConnect",Columbia University in the City of New York,Strategic Communications,"University of California, Riverside",
"Kirkland, Washington, United States",Senior Global Brand Marketing Manager at Wizards of the Coast,Global Brand Marketing Manager Magic The Gathering at Wizards of the Coast,California State University-San Bernardino,"Marketing/Marketing Management, General","University of California, Riverside",
"San Jose, California, United States",Engineering Director at KLA,"Manager, Principal Optics Engineer at KLA",University of Arizona,Optical Sciences,"University of California, Riverside",
Los Angeles Metropolitan Area,Sr. Director of Sales & Marketing at iBUYPOWER,Director of Sales & Marketing at iBUYPOWER,"University of California, Riverside","Business Administration and Management, General","University of California, Riverside",
"New York, New York, United States","Head of Partnerships, Lean In at Sheryl Sandberg & Dave Goldberg Family Foundation","Senior Director, Global Corporate Partnerships at Global Citizen",New York University,Liberal Arts and Sciences/Liberal Studies,"University of California, Riverside",
"Los Angeles, California, United States",Owner and Founder at Andrews Family Law & Mediation Offices,"Co-Owner and Founding Partner at Jubelt & Andrews, A Professional Corporation",UC Davis,Law,"University of California, Riverside",
"Los Angeles, California, United States",Procurement Coordinator at Ruggable,Procurement Specialist at FastXchange Inc.,"University of California, Riverside",Economics / Administrative Studies,"University of California, Riverside",
"Mechanicsville, Virginia, United States",Director of Planning and Purchasing at CarrierEnterprise,Operation Manager at Invensys Controls,"University of California, Riverside",CPIM  CPM,"University of California, Riverside",
"Columbus, Ohio Metropolitan Area",Sr Sourcing Manager at ascena,Sourcing Manager at ascena,2006–2007,Product Development,"University of California, Riverside",
Greater Boston,Research Scientist II at Novartis Institutes for BioMedical Research (NIBR),Research Scientist I at Novartis Institutes for BioMedical Research (NIBR),Harvard Extension School,Bioengineering: Biotechnology,"University of California, Riverside",
Los Angeles Metropolitan Area,Global Marketing Technology Program Manager at Apple,"Marketing Analytics Manager, Apple TV app at Apple","University of California, Riverside",Business Administration,"University of California, Riverside",
"San Francisco, California, United States",Head of Sales Compensation at Fast,Head of Sales Compensation at Gusto,2008–2010,"Economics, Administrative Studies; Finance & Management Information Systems","University of California, Riverside",
"Los Angeles, California, United States",Member at Chief,"Sr. Principal Client Partner, Key Accounts at TripAdvisor",2000–2004,Management Information Systems,"University of California, Riverside",
"Buena Park, California, United States","Chief Financial Officer at Kimco Staffing, KTimeHR, Advantex Professional Services and Mediquest",Vice President - Corporate Controller at Universal Services of America,Education (same page),Business,"University of California, Riverside",
"Burbank, California, United States","Vice President, Global Marketing at Splash Damage","Vice President, Global Marketing at Athlon Games, Inc.",2010–2013,Business,"University of California, Riverside",
"Tustin, California, United States",Director of Logistics at Yamaha Corporation of America,Director of Logistics at toshiba,"University of California, Riverside",Business,"University of California, Riverside",
United States,Director of Basebuilding at Fair Work Center,Enforcement Program Manager  at National Domestic Workers Alliance,CUNY School of Labor and Urban Studies,Labor Studies,"University of California, Riverside",
"Rockville, Maryland, United States","SVP Real World Evidence and Head, Inspire HealthJourney at Inspire","SVP, Marketing at Inspire",The Johns Hopkins University,Biotechnology - Business Enterprise & Regulatory Affairs,"University of California, Riverside",
"Fairfax County, Virginia, United States",Director of Finance at MSA Security,"Senior Finance Manager at Huntington Ingalls Industries, Inc.",University of Delaware,"Business Administration and Management, General","University of California, Riverside",
"Danville, California, United States","R&D Lead (IoT, Data Science, Machine Learning) at GE Research",Application Engineer at Linear Technology,"University of California, Riverside",Computer Science (Wireless Networks),"University of California, Riverside",
500+ connections,Administrative Business Partner at Google,Training Coordinator II (Nelson Staffing) at Google,"University of California, Riverside",History,"University of California, Riverside",
United States,Director Patient Financial Services at San Antonio Regional Hospital,Diector Business Services at Pomona Valley Hospital Medical Center,University of Redlands,Organizational Leadership,"University of California, Riverside",
"San Marino, California, United States",Lecturer in Environmental History at Caltech,Associate  Research Professor of History at Claremont Graduate University,"University of California, Riverside",History,"University of California, Riverside",
"Gilbert, Arizona, United States",Senior Manager Channel Enablement at Arctic Wolf,Global Channel Sales Enablement at Gigamon,Education (same page),Economics,"University of California, Riverside",
"San Jose, California, United States","Director, Platform Operations at NBCUniversal Media, LLC","Manager, Platform Operations - Intellectual Property:  Analytics, Operations and Technology at NBCUniversal Media, LLC","University of California, Riverside",Law & Society; Anthropology,"University of California, Riverside",
"Riverside, California, United States","Executive Vice President, Chief Strategy Officer at Altura Credit Union","Senior Vice President, Technology at Altura Credit Union",California State University-San Bernardino,"Business Administration and Management, General","University of California, Riverside",
500+ connections,Regional Vice President of New Partners & Business Development at Wiley University Services,Vice President of Corporate Partnerships at Pearson,General Assembly,Marketing,"University of California, Riverside",
"Orange County, California, United States","Executive Advisor at University of California, Riverside",Principal at Citadel Consulting,The George Washington University,International/Global Studies,"University of California, Riverside",
"Plano, Texas, United States",Lead Product Manager - Wearables at Samsung Electronics America,Marketing Manager - Mobile at Samsung Electronics America,Cornell Johnson Graduate School of Management,"Business Administration, Marketing","University of California, Riverside",
500+ connections,"Assistant Manager, Site Experience at Urban Decay Cosmetics",Digital Marketing Specialist at Skechers,"University of California, Riverside","Media and Cultural Studies, Business Administration Minor","University of California, Riverside",
"Lille, Hauts-de-France, France",CEO & Founder at WheelOfWork,Regional Manager at SThree,"University of California, Riverside","Business Administration and Management, General","University of California, Riverside",
"Costa Mesa, California, United States",Vice President Business Solutions at Kingsbridge Technologies,Regional Director at Resources Global Professionals,"University of California, Irvine - The Paul Merage School of Business","Business Administration and Management, General","University of California, Riverside",
"Los Angeles, California, United States",Executive Vice President at U.S. Bank,"SVP, National Managing Director Strategic Markets and Affordable Home Lending at U.S. Bank",1975–1980,History,"University of California, Riverside",
Los Angeles Metropolitan Area,"Chief Strategy Officer (CSO) at Community Health Systems, Inc. (FQHC)","Chief Operating Officer at Community Health Systems, Inc. (FQHC)",Claremont Graduate University,Health Services Leadership and Administration,"University of California, Riverside",
"San Diego, California, United States","Co Founder & Product Owner at Cordial, Inc.",Founder at Bandfarm Inc.,1988–1992,English,"University of California, Riverside",
"San Diego, California, United States",Director of Operations at Bird Rock Systems,Operations Manager at Bird Rock Systems,"University of California, Riverside",Economics,"University of California, Riverside",
Los Angeles Metropolitan Area,"Senior Director of Strategic Sourcing at Electric Power Systems, Inc.","Commodity Procurement Lead, Electronics at Meggitt","University of California, Riverside",Business Administration,"University of California, Riverside",
Los Angeles Metropolitan Area,Director of Product Design at BlackLine,UX/Design Strategist at Freelance,Art Center College of Design,Media Design,"University of California, Riverside",
"Hanford, California, United States",President and CEO at Heritage Realtors and Property Management,,"University of California, Berkeley",Political Science,"University of California, Riverside",
"Boston, Massachusetts, United States",Chief Digital Officer at The Hoffman Agency at The Hoffman Agency,SVP | GM Boston | Digital Practice Lead  at LEWIS Global Communications,Azusa Pacific University,Organizational Management,"University of California, Riverside",
"Orange County, California, United States","Sales Development Manager at Veritone, Inc.","Sales Development Representative at Veritone, Inc.","University of California, Riverside",Business Administration,"University of California, Riverside",
"Los Angeles, California, United States",Founder & Chief Executive Officer at Innovative Partnerships Group,President at Premier Ventures,1999–2002,Business,"University of California, Riverside",
"Los Angeles County, California, United States",Owner at Amalfi Estates,Owner at Amalfi Mortgage,Harvard Business School,Advanced Negotiations Class,"University of California, Riverside",
"Tustin, California, United States",Director Of Information Technology at San Bernardino City Unified School District,Assistant Director of Research & Evaluation at Lynwood Unified School District,"University of California, Riverside",Computer Science,"University of California, Riverside",
500+ connections,Procurement Specialist - Facilities and Construction at Faraday Future,"Senior Government Contracts Buyer at Woodward, Inc.","University of California, Irvine - The Paul Merage School of Business",Bachelor of Science in Business Administration - Operations and Supply Chain Management,"University of California, Riverside",
"Yorba Linda, California, United States",Founder & President at Red Mallard,Writer/AE/Web at Hobbs/Herder Advertising,"University of California, Riverside",Creative Writing,"University of California, Riverside",
"Orange County, California, United States",Senior Operations Director at Berkadia,Senior Commercial Real Estate Associate at Reliance Valuation Group,"University of California, Riverside",Economics,"University of California, Riverside",
Los Angeles Metropolitan Area,"Sr. Manager, Marketing Technology and Digital Operations at City of Hope","Manager, Digital Operations at City of Hope",University of Southern California,Masters of Communication Management,"University of California, Riverside",
"Los Angeles, California, United States",President at MRC Creations,,2003–2008,Business Economics,"University of California, Riverside",
"Huntington Beach, California, United States",Managing Partner at Culminate Care,Chief Financial Officer at 360 Clinic,California State University-Fullerton,Accounting,"University of California, Riverside",
500+ connections,Mortgage Recruiter and Licensing Expert | Loan Originator at Secure One Capital Corp. NMLS 239738,Licensing Manager│Employee Training│Results-Driven│Start-Up Operations│New Business Development at Network Capital Funding Corporation,"University of California, Riverside",Major Law and Society│Minor in History with a Focus on Arts & Humanities,"University of California, Riverside",
Los Angeles Metropolitan Area,Product  at Luxury Presence,Co-founder & CEO at WorkClout (YC W19),Y Combinator,"Business Administration, Information Systems; Minor in Statistics","University of California, Riverside",
"Seattle, Washington, United States",Senior Vice President - Sales & Service  at Seattle Kraken,Revenue  at NHL Seattle,"Pepperdine University, The George L. Graziadio School of Business and Management",Business,"University of California, Riverside",
241 connections,Operations Coordinator at FabFitFun,Operations at Cali Raw Nutrition,"University of California, Riverside","Economics, Admin studies","University of California, Riverside",
United States,Manager of Information Systems at David Geffen School of Medicine at UCLA,Application Support Engineer at Cayuse (Formerly NTM Consulting Services),"University of California, Riverside",Mathematics,"University of California, Riverside",
"Rancho Cucamonga, California, United States",Director Of Operations Parts and Sales N.A. at KalPartz,Aftermarket Parts Regional Sales and Operations Manager at Utility Trailer Manufacturing Company,California State University-San Bernardino,,"University of California, Riverside",
500+ connections,"Technical Recruiting, Games at Epic Games","Senior University Recruiting Partner (Software, Tech, Data Science) at Rivian","University of California, Riverside",Human Resources/Labor Relations & Sociology,"University of California, Riverside",
500+ connections,,Data Science Fellow - Data Science Career Track at Springboard,"University of California, Riverside",Applied Mathematics and Statistics,"University of California, Riverside",
"Chicago, Illinois, United States","Head Of Commercial & Business Development  at Preferred Medicine, Inc.",Strategic Advisor at Allcyte,2010–2012,Finance,"University of California, Riverside",
Greater Tampa Bay Area,Executive Director - Applied Economic Research for Operations at Chewy,Head of Data Science & Innovation - Supply Chain at Cisco,Télécom SudParis,"Statistics, Quantitative Finance","University of California, Riverside",
Los Angeles Metropolitan Area,"VP, Influencer & Content Strategy, ION at Ayzenberg","Senior Manager, Influencer Activations at Machinima",2003–2007,Marketing / Sociology,"University of California, Riverside",
500+ connections,Product Manager at Confidential (Management Consulting),Vice President Of Strategic Planning at Confidential,California State University-Long Beach,Human Resources Management and Services,"University of California, Riverside",
"Orange County, California, United States",Chief Headhuntress at Atalent Services,Independent Sourcer at Independent,"University of California, Riverside",,"University of California, Riverside",
500+ connections,First Vice President- Director of Talent Acquisition at Bank of Hope,Vice President - Recruiting Manager at East West Bank,UC Riverside,Economics,"University of California, Riverside",
"Portland, Oregon Metropolitan Area",Director Data Science at Nike,Senior Director Measurement Science at The Nielsen Company,+ 4 more,Finance (PhD candidate) and Statistics,"University of California, Riverside",
500+ connections,,"Clinical Trial Administrator at Arena Pharmaceuticals, Inc.",The George Washington University,Health/Health Care Administration/Management,"University of California, Riverside",
"New York, New York, United States","Senior Vice President, Head of Customer Success at VTS",Senior Vice President and Head Of Customer Success & Support at Medidata Solutions,2000–2003,"Strategy, Marketing, Finance","University of California, Riverside",
Las Vegas Metropolitan Area,CEO & Founder at HUSLN,"Director, Engineering & Innovation at Transurban",2008–2010,Electrical Engineering,"University of California, Riverside",
"Los Angeles, California, United States",Social Media Digital Marketing Dir. at theBalm Cosmetics,Digital Content Manager | Ardell Beauty at American International Industries,"University of California, Riverside","Business Administration, Marketing","University of California, Riverside",
"Berkeley, California, United States",Chief Sustainability Officer at Coatue Management,Operating Partner - Sustainability at NextWorld Evergreen,1997–2002,Environmental Toxicology,"University of California, Riverside",
"Riverside, California, United States",President/Founder at Nicole Rand Professional Services,Client Relations Specialist at Riverside Personnel Services - The Office And Accounting Staffing Specialist,University of La Verne,Psychology,"University of California, Riverside",
"Buena Park, California, United States",Healthcare Finance at Healthcare Consultant,"Director of Finance at Anthem, Inc.","California State University-Fullerton, Mihaylo College of Business and Economics",MBA WITH SPECIALIZATION IN ACCOUNTING,"University of California, Riverside",
500+ connections,,Advanced Client Solutions Associate at Bank of America,"University of California, Riverside",History/Administrative Studies (Concentrations in Marketing and U.S. History),"University of California, Riverside",
San Francisco Bay Area,"Senior Sales Development Representative (Outbound, Mid-Market) at Asana",Sales Development Representative (Inbound) at Asana,Syracuse University - Maxwell School,Sociology,"University of California, Riverside",
Greater Paris Metropolitan Region,Business Development Representative at PlayPlay,Project Manager at Stellantis (ex Groupe PSA),PSB Paris School of Business,Digital Business,"University of California, Riverside",
"London, England, United Kingdom",CTO & Co-Founder at Interlay,Research Assistant at Imperial College London,Imperial College London,Computer Science,"University of California, Riverside",
"South San Francisco, California, United States",President & CEO at RKD Global Inc.,"Private Investor, US Stock Markets & Securities Exchange at Self-employed",Stanford University,Attended Entrepreneurial Thought Leaders Seminars,"University of California, Riverside",
"San Jose, California, United States","Chief Technology Officer at Dasher Technologies, A Converge Company",Sr. Account Executive at Dasher Technologies,1983–1987,Computer Science,"University of California, Riverside",
"Palm Desert, California, United States",Founder / CEO at Renova Energy Corporation,,UC Riverside - Palm Desert Campus - Int'l Center for Entrepreneurial MGMT,"Business Administration and Management, General","University of California, Riverside",
"Dubai, United Arab Emirates",Head of Business Strategy at KG International FZCO,Consultant at Deloitte,"University of California, Riverside",Applied Mathematics,"University of California, Riverside",
"San Francisco, California, United States","Senior Director, Digital Innovation and Global Operations at Banana Republic","Director, Digital Innovation and Operations at Banana Republic","University of California, Riverside",Marketing,"University of California, Riverside",
"New York, New York, United States",Chief Executive Officer at PrivCo,Managing Principal and Chief Investment Officer at AdLarem Fund Management,"University of California, Riverside",Business Administration,"University of California, Riverside",
"Tampa, Florida, United States",President at Aristocrat Investigations and Process Serving,Founder at American Envoy,"University of California, Riverside",Business administration,"University of California, Riverside",
"Los Angeles, California, United States","VP, Marketing at Wave Sports + Entertainment","Senior Director, Rights & Partnerships, Esports at United Entertainment Group","University of California, Riverside",Marketing and Finance,"University of California, Riverside",
"San Diego, California, United States",Chief Technology Officer at Synaccess,Sr. Member of Technical Staff at Synaccess Networks,"University of California, Riverside",Electrical Engineering,"University of California, Riverside",
Los Angeles Metropolitan Area,"Director, Digital Product Management  at Aritzia",VP of Product at Fullscreen,Education (same page),Business - Marketing & Finance,"University of California, Riverside",
"Laguna Niguel, California, United States",Chief Marketing Officer at Mint Mobile,SVP Marketing & Creative  at Ultra & Mint Mobile,2004–2005,Marketing & Entrepreneurship,"University of California, Riverside",
Greater Paris Metropolitan Region,Fondateur & CEO at TastyCloud,Fondateur & Président at BNI 5 ETOILES ***** PARIS TROCADERO,ISTEC - Ecole Supérieure de Commerce et de Marketing,Ecole Supérieure de Commerce et de Marketing,"University of California, Riverside",
"San Francisco, California, United States",Director | Technology Corporate Banking at Silicon Valley Bank,Vice President | Technology Corporate Banking at Silicon Valley Bank,"Pepperdine University, The George L. Graziadio School of Business and Management",Finance,"University of California, Riverside",
"Totowa, New Jersey, United States",Chief Executive Officer at North Jersey Federal Credit Union,Partner at Rocking It Now Academy,"University of California, Riverside",Business Administration,"University of California, Riverside",
"Philadelphia, Pennsylvania, United States",Director of Technology & Innovation at The Norwood Company,Director of Design Technology at Pennoni Associates,University of Pennsylvania,Architecture & Landscape Architecture,"University of California, Riverside",
"Grand Est, France",CEO & Founder at Winalist,Freelance Designer at Nicolas Manfredini - Webdesign & Creation,EBS - European Business School Paris,"International Business, Marketing, Advertizing","University of California, Riverside",
"Santa Ana, California, United States",Customer Experience  at McMaster-Carr,Research Assistant at Pepperdine Graziadio Business School,Pepperdine Graziadio Business School,Business Analytics,"University of California, Riverside",
Los Angeles Metropolitan Area,Chief Operating Officer at Prohealth Medical Group,Account Manager at Chameleon Communications International,"University of California, Riverside","Business Administration, Management and Operations","University of California, Riverside",
"San Diego, California, United States",Chief Operating Officer at Save the Storks,"General Manager- San Diego, CA at Robbins Brothers, The Engagement Ring Store","University of California, Riverside",Business Management and Marketing,"University of California, Riverside",
"Orange County, California, United States",Performance Marketing Manager at MobilityWare,Online Marketing Specialist at San Manuel Casino,"University of California, Riverside",Marketing,"University of California, Riverside",
"Houston, Texas, United States",Chief Technology Officer at Aegle,Vice President at Metagreen Ventures,University of California Riverside,Mechanical Engineering,"University of California, Riverside",
San Francisco Bay Area,Co-Founder at Formation Fi,Founder and CEO at Fluid,"University of California, Riverside","Banking, Corporate, Finance, and Securities Law","University of California, Riverside",
"San Jose, California, United States","Director, N-Tech AMERS at Netflix","Manager, Employee Technology - Americas at Netflix","University of California, Riverside",Bioinformatics and Genomics,"University of California, Riverside",
"Kolkata, West Bengal, India","Head - Procurement, India and Member, Management Team at WACKER",Procurement Deputy Manager at WACKER,XLRI Jamshedpur,Business Management,"University of California, Riverside",
"Boston, Massachusetts, United States","Manager, Global Marketing & Digital Strategy at Reebok","Specialist, Brand Activation & Digital Strategy at Reebok",Dublin Business School,"Business Administration and Management, General","University of California, Riverside",
"Atlanta, Georgia, United States","Sr. Director, Cloud / Transformation Product Marketing and Enterprise Customer Communications Leader at Equifax",Commercial Business - Product Marketing Leader at Equifax,Yale University - Yale School of Management,Focus in Marketing and Strategy,"University of California, Riverside",
"Houston, Texas, United States",Director of Global Operations & Strategy at Ultragenyx Pharmaceutical Inc.,"Director of Management Systems for Environment, Health, Safety & Sustainability at Ultragenyx Pharmaceutical Inc.",Harvard University,"Management, Concentration in Finance","University of California, Riverside",
"Marietta, Georgia, United States",Executive Vice President Of Operations at Nationwide Marketing Group,SVP Digital & Technology at Nationwide Marketing Group,1988–1992,Business,"University of California, Riverside",
"Minneapolis, Minnesota, United States",Chief Financial Officer at Vmo Aircraft Leasing,Chief Financial Officer of Aviation at Castlelake,2001–2005,Business Administration,"University of California, Riverside",
"Cupertino, California, United States",Director Of Information Technology at Sonoma Biotherapeutics,Director Of Information Technology at Catalyst Biosciences,De Anza Community College,Computer Science,"University of California, Riverside",
"Mission Viejo, California, United States",Digital Marketing & Operations Manager at Accurate Background,Marketing Manager at Accurate Background,"University of California, Riverside",Psychology,"University of California, Riverside",
"Austin, Texas Metropolitan Area","Chief Executive Officer (CEO) and Founder at SCTXi, LLC",Corporate Manager Financial Systems at Harland Clarke,Cornell Johnson Graduate School of Management,Business Administration,"University of California, Riverside",
"Anaheim, California, United States",Director of Operations at Harvard Eye Associates,Manager of Operations at Harvard Eye Associates,Woodbury University,Biolgoical Sciences,"University of California, Riverside",
"Montreal, Quebec, Canada",Co-Founder and Game Director at Clever-Plays Studio,Game Designer at Ubisoft,Campus Ubisoft (Université de Montréal),Game Design,"University of California, Riverside",
Los Angeles Metropolitan Area,"Sr. Marketing Manager, eCommerce at Roku Inc.","Marketing Manager, Retail & eCommerce at Epson America Inc.","University of California, Riverside",Marketing,"University of California, Riverside",
"Redondo Beach, California, United States","Demand Gen Director, Enterprise Digital Transformation at PwC","Senior Manager, Sales and Marketing at PwC","University of California, Riverside",,"University of California, Riverside",
"Sunnyvale, California, United States",Head of Data Science and Analytics at Opendoor,Director of Data Science at Intuit,"University of California, Riverside",Computer Science,"University of California, Riverside",
Los Angeles Metropolitan Area,Logistics Manager at Califia Farms,Logistics Manager at Sugarfina USA LLC,"University of California, Riverside",Business Administration,"University of California, Riverside",
