current_location,current_work,previous_work,latest_Education,major,search_school,current_company,previous_company,current_company_industry,previous_company_industry,current_NAICS,previous_NAICS,current_NAICS_title,current_avg_salary,previous_NAICS_title,latitude,longitude,state,county,city,fips
"Downey, California, United States",Executive Vice President Of Operations at TBD,Vice President of operations at FiveStar Gourmet Foods,"University of California, Riverside",6 sigma - Black Belt,"University of California, Riverside",TBD,FiveStar Gourmet Foods,541380 X-ray inspection services,,54,,"Professional, Scientific, and Technical Services",77645.346,,33.942215,-118.123565,California,Los Angeles,Downey,06037
"Santa Monica, California, United States",Director of E-Commerce at JAXXON,Digital Asset Management Coordinator at RPA,General Assembly,UX Design,"University of California, Riverside",JAXXON,RPA,,"221118 Power generation, tidal electric",,22,,,Utilities,34.01947,-118.491227,California,Los Angeles,Santa Monica,06037
"Newport Beach, California, United States",President & CEO at Vino Vault LLC,Founder/Business Unit Leader at Iron Mountain Entertainment Services,"University of California, Riverside",International Business,"University of California, Riverside",Vino Vault LLC,Iron Mountain Entertainment Services,,,,,,,,33.617009,-117.92944,California,Orange,Newport Beach,06059
Los Angeles  ,Chief Operating Officer at IT Retail,Product Manager at IT Retail,"University of California, Riverside",Marketing,"University of California, Riverside",IT Retail,IT Retail,,,,,,,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
 Chicago ,"VP, Chief Marketing Officer at DemandTec by Acoustic",Chief Marketing Officer at GrocerKey,1997–2001,Political Science,"University of California, Riverside",DemandTec by Acoustic,GrocerKey,,,,,,,,41.875562,-87.624421,Illinois,Cook,Chicago,17031
"Riverside, California, United States",Vice President of Operations/Chief Operating Officer at Riverside Community Health Foundation,Health Care Social Worker at Riverside County Department of Public Health,California Baptist University,Sociology/Ethnic Studies Joint Major,"University of California, Riverside",Riverside Community Health Foundation,Riverside County Department of Public Health,523910 Viatical settlement companies,,52,,Finance and Insurance,80163.492,,33.945941,-117.410244,California,Riverside,Riverside,06065
"Los Angeles, California, United States",Co-Founder at Infura,Director of Site Reliability Engineering at KEYPR,Education (same page),Computer Science,"University of California, Riverside",Infura,KEYPR,,,,,,,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
Los Angeles  ,CEO / Director of Additive Testing at ASTRO Mechanical Testing Laboratory,"Associate Professor of Engineering, Computer Science & Technology at California State University, Los Angeles",University of Southern California,Astronautical Engineering,"University of California, Riverside",ASTRO Mechanical Testing Laboratory,"California State University, Los Angeles",,"923110 University regents or boards, government",,92,,,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"San Diego, California, United States",Chairman and CEO at ECG Management Consultants,Director at Sharp HealthCare,1995–1997,Economics,"University of California, Riverside",ECG Management Consultants,Sharp HealthCare,,524114 Medical service plans without providing health care services,,52,,,Finance and Insurance,32.71742,-117.162773,California,San Diego,San Diego,06073
"Los Angeles, California, United States",Co-Founder at Zentap,Chief Marketing Officer at Zentap,Yellow,Strategie d'Entreprise,"University of California, Riverside",Zentap,Zentap,,,,,,,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
Los Angeles  ,Chief Sales Officer (CSO) at Hawaiian Host Group,Senior Vice President Of Sales at Hawaiian Host Group,"Pepperdine University, The George L. Graziadio School of Business and Management",Environmental Engineering,"University of California, Riverside",Hawaiian Host Group,Hawaiian Host Group,,,,,,,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"Anaheim, California, United States",Director of Marketing at Texas Ballet Theater,Mentor at M ACCELERATOR,1998–2000,Organization/Strategy,"University of California, Riverside",Texas Ballet Theater,M ACCELERATOR,611610 Voice instruction,541810 Advertising agency consulting services,61,54,Educational Services,67390.465,"Professional, Scientific, and Technical Services",33.834752,-117.911732,California,Orange,Anaheim,06059
"Orange County, California, United States",Global Digital Marketing Project Manager at Moxa,"Internet and E-Commerce Specialist at Moxa Americas, Inc.",2007,Business Administration,"University of California, Riverside",Moxa,"Moxa Americas, Inc.","423430 Software, computer, packaged, merchant wholesalers","334118 Terminals, computer, manufacturing",42,31-33,Wholesale Trade,68623.359,Manufacturing,33.750038,-117.870493,California,Orange,,06059
"Los Angeles, California, United States",CFO at SKIMS,Private Equity CFO at Private Equity,University of Southern California,Theology/Theological Studies,"University of California, Riverside",SKIMS,Private Equity,,"621111 Walk-in physicians' offices (e.g., centers, clinics)",,62,,,Health Care and Social Assistance,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
 Sydney ,Head of Digital Analytics & Optimisation at Coles,"Senior Manager, Insights & Analytics at Woolworths Supermarkets",Universidad Rey Juan Carlos,"Business Administration, Bilingual","University of California, Riverside",Coles,Woolworths Supermarkets,561499 Videoconferencing services,,56,,Administrative and Support and Waste Management and Remediation Services,64366.438,,-33.854816,151.216454,New South Wales,,Sydney,nan
Los Angeles  ,Founding Engineer at Cleanlab,"Senior Director, Data Science & AI/ML at DIRECTV",Georgia Institute of Technology,Computer Science,"University of California, Riverside",Cleanlab,DIRECTV,,517312,,51,,,Information,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"San Mateo, California, United States",Chief Information Security Officer - CISO at Coupa Software,VP of Infrastructure & CISO (various roles) at SurveyMonkey,UC Riverside,Business Administration,"University of California, Riverside",Coupa Software,SurveyMonkey,"511210 Utility software, computer, packaged",541110 Tax law attorneys' private practices,51,54,Information,73855.595,"Professional, Scientific, and Technical Services",37.496904,-122.333057,California,San Mateo,,06081
Memphis  ,Continuous Improvement Manager at Hunter Fan Company,"Technical Manager - Engineering, Quality Assurance, Extrusion & Thermoforming at A.L.P. Lighting Components",Carnegie Mellon University,Physics - Measurement & Control,"University of California, Riverside",Hunter Fan Company,A.L.P. Lighting Components,"335121 Yard Lights, residential electric, manufacturing",,31-33,,Manufacturing,69174.562,,35.133502,-89.966876,Tennessee,Shelby,Memphis,47157
"New York, New York, United States",Founder and CEO at Hairtelligence,MBA Intern at Seafair,The Wharton School,"Business Administration, Arts Management","University of California, Riverside",Hairtelligence,Seafair,,541820 Public relations services,,54,,,"Professional, Scientific, and Technical Services",40.712728,-74.006015,New York,,New York,36061
Los Angeles  ,"President at Accelerated Logistics LLC, AMAZON DSP",,University of Southern California,"Business Administration and Management, General","University of California, Riverside","Accelerated Logistics LLC, AMAZON DSP",,,,,,,,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
Los Angeles  ,Head of Business Development at Shopmonkey,"Senior Director, Business Development & Partner Management at LegalZoom","University of California, Riverside",American History (United States),"University of California, Riverside",Shopmonkey,LegalZoom,541618 Utilities management consulting services,551112 Public utility holding companies,54,55,"Professional, Scientific, and Technical Services",77645.346,Management of Companies and Enterprises,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
San Francisco Bay ,"Senior Manager, Global Campaign Strategy and Integrated Marketing  at Splunk","Senior Manager, Competitive Campaign Marketing at Adobe","University of California, Riverside",focus on marketing,"University of California, Riverside",Splunk,Adobe,"511210 Utility software, computer, packaged","511210 Utility software, computer, packaged",51,51,Information,73855.595,Information,37.714029,-122.307794,California,San Mateo,,06081
"Boulder, Colorado, United States",Vice President Of Retail at Fjällräven North America,GM of Retail Operations at Rip Curl,University of Arizona,"Business Administration and Management, General","University of California, Riverside",Fjällräven North America,Rip Curl,,"451110 Uniform stores, athletic",,44-45,,,Retail Trade,40.014986,-105.270545,Colorado,Boulder,Boulder,08013
"Rancho Mirage, California, United States",Senior Director and Chief Medical Information Officer at Cerner Corporation,Physician Executive at Cerner Corporation,David Geffen School of Medicine at UCLA,Medicine,"University of California, Riverside",Cerner Corporation,Cerner Corporation,"541512 Systems integration design services, computer","541512 Systems integration design services, computer",54,54,"Professional, Scientific, and Technical Services",77645.346,"Professional, Scientific, and Technical Services",33.770859,-116.426874,California,Riverside,,06065
,"Web Team Manager, Web Developer at Sega of America, Inc.",Art Director at Darick Publishing,LearningFuze,Accelerated Web Development Course,"University of California, Riverside","Sega of America, Inc.",Darick Publishing,"423920 Vehicles, children's (except bicycles), merchant wholesalers",,42,,Wholesale Trade,68623.359,,,,,,,nan
"Santa Monica, California, United States",VP of Product at TigerConnect,"Sr. Director, Product Management at TigerConnect",Columbia University in the City of New York,Strategic Communications,"University of California, Riverside",TigerConnect,TigerConnect,"541519 Software installation services, computer","541519 Software installation services, computer",54,54,"Professional, Scientific, and Technical Services",77645.346,"Professional, Scientific, and Technical Services",34.01947,-118.491227,California,Los Angeles,Santa Monica,06037
"Kirkland, Washington, United States",Senior Global Brand Marketing Manager at Wizards of the Coast,Global Brand Marketing Manager Magic The Gathering at Wizards of the Coast,California State University-San Bernardino,"Marketing/Marketing Management, General","University of California, Riverside",Wizards of the Coast,Wizards of the Coast,"541511 Web (i.e., Internet) page design services, custom","541511 Web (i.e., Internet) page design services, custom",54,54,"Professional, Scientific, and Technical Services",77645.346,"Professional, Scientific, and Technical Services",47.685957,-122.192025,Washington,King,,53033
"San Jose, California, United States",Engineering Director at KLA,"Manager, Principal Optics Engineer at KLA",University of Arizona,Optical Sciences,"University of California, Riverside",KLA,KLA,"811219 Weighing equipment (e.g., balance, scales) repair and maintenance services","811219 Weighing equipment (e.g., balance, scales) repair and maintenance services",81,81,Other Services (except Public Administration),57824.628,Other Services (except Public Administration),37.33619,-121.890583,California,Santa Clara,San Jose,06085
Los Angeles  ,Sr. Director of Sales & Marketing at iBUYPOWER,Director of Sales & Marketing at iBUYPOWER,"University of California, Riverside","Business Administration and Management, General","University of California, Riverside",iBUYPOWER,iBUYPOWER,,,,,,,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"New York, New York, United States","Head of Partnerships, Lean In at Sheryl Sandberg & Dave Goldberg Family Foundation","Senior Director, Global Corporate Partnerships at Global Citizen",New York University,Liberal Arts and Sciences/Liberal Studies,"University of California, Riverside",Sheryl Sandberg & Dave Goldberg Family Foundation,Global Citizen,,"611710 Testing services, educational",,61,,,Educational Services,40.712728,-74.006015,New York,,New York,36061
"Los Angeles, California, United States",Owner and Founder at Andrews Family Law & Mediation Offices,"Co-Owner and Founding Partner at Jubelt & Andrews, A Professional Corporation",UC Davis,Law,"University of California, Riverside",Andrews Family Law & Mediation Offices,"Jubelt & Andrews, A Professional Corporation",,,,,,,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"Los Angeles, California, United States",Procurement Coordinator at Ruggable,Procurement Specialist at FastXchange Inc.,"University of California, Riverside",Economics / Administrative Studies,"University of California, Riverside",Ruggable,FastXchange Inc.,"314110 Weaving rugs, carpets, and mats","541512 Systems integration design services, computer",31-33,54,Manufacturing,69174.562,"Professional, Scientific, and Technical Services",34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"Mechanicsville, Virginia, United States",Director of Planning and Purchasing at CarrierEnterprise,Operation Manager at Invensys Controls,"University of California, Riverside",CPIM  CPM,"University of California, Riverside",CarrierEnterprise,Invensys Controls,,,,,,,,37.627692,-77.353813,Virginia,Hanover,,51085
"Columbus, Ohio  ",Sr Sourcing Manager at ascena,Sourcing Manager at ascena,2006–2007,Product Development,"University of California, Riverside",ascena,ascena,424330 Women's clothing merchant wholesalers,424330 Women's clothing merchant wholesalers,42,42,Wholesale Trade,68623.359,Wholesale Trade,39.96226,-83.000706,Ohio,Franklin,Columbus,39049
 Boston,Research Scientist II at Novartis Institutes for BioMedical Research (NIBR),Research Scientist I at Novartis Institutes for BioMedical Research (NIBR),Harvard Extension School,Bioengineering: Biotechnology,"University of California, Riverside",Novartis Institutes for BioMedical Research (NIBR),Novartis Institutes for BioMedical Research (NIBR),,,,,,,,42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025
Los Angeles  ,Global Marketing Technology Program Manager at Apple,"Marketing Analytics Manager, Apple TV app at Apple","University of California, Riverside",Business Administration,"University of California, Riverside",Apple,Apple,"511210 Utility software, computer, packaged","511210 Utility software, computer, packaged",51,51,Information,73855.595,Information,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"San Francisco, California, United States",Head of Sales Compensation at Fast,Head of Sales Compensation at Gusto,2008–2010,"Economics, Administrative Studies; Finance & Management Information Systems","University of California, Riverside",Fast,Gusto,517311,999990,51,99,Information,73855.595,"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OEWS Designation)",37.779026,-122.419906,California,,San Francisco,06075
"Los Angeles, California, United States",Member at Chief,"Sr. Principal Client Partner, Key Accounts at TripAdvisor",2000–2004,Management Information Systems,"University of California, Riverside",Chief,TripAdvisor,561499 Videoconferencing services,518210 Web hosting,56,51,Administrative and Support and Waste Management and Remediation Services,64366.438,Information,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"Buena Park, California, United States","Chief Financial Officer at Kimco Staffing, KTimeHR, Advantex Professional Services and Mediquest",Vice President - Corporate Controller at Universal Services of America,Education (same page),Business,"University of California, Riverside","Kimco Staffing, KTimeHR, Advantex Professional Services and Mediquest",Universal Services of America,,561720 Window cleaning services,,56,,,Administrative and Support and Waste Management and Remediation Services,33.870413,-117.996216,California,Orange,,06059
"Burbank, California, United States","Vice President, Global Marketing at Splash Damage","Vice President, Global Marketing at Athlon Games, Inc.",2010–2013,Business,"University of California, Riverside",Splash Damage,"Athlon Games, Inc.","541511 Web (i.e., Internet) page design services, custom","541511 Web (i.e., Internet) page design services, custom",54,54,"Professional, Scientific, and Technical Services",77645.346,"Professional, Scientific, and Technical Services",34.181648,-118.325855,California,Los Angeles,Burbank,06037
"Tustin, California, United States",Director of Logistics at Yamaha Corporation of America,Director of Logistics at toshiba,"University of California, Riverside",Business,"University of California, Riverside",Yamaha Corporation of America,toshiba,339992 Zithers and parts manufacturing,334419 Vacuum tubes manufacturing,31-33,31-33,Manufacturing,69174.562,Manufacturing,33.745851,-117.826166,California,Orange,,06059
United States,Director of Basebuilding at Fair Work Center,Enforcement Program Manager  at National Domestic Workers Alliance,CUNY School of Labor and Urban Studies,Labor Studies,"University of California, Riverside",Fair Work Center,National Domestic Workers Alliance,,813319 World peace and understanding advocacy organizations,,81,,,Other Services (except Public Administration),39.78373,-100.445882,,,,nan
"Rockville, Maryland, United States","SVP Real World Evidence and Head, Inspire HealthJourney at Inspire","SVP, Marketing at Inspire",The Johns Hopkins University,Biotechnology - Business Enterprise & Regulatory Affairs,"University of California, Riverside",Inspire,Inspire,"722511 Steak houses, full service","722511 Steak houses, full service",72,72,Accommodation and Food Services,44945.819,Accommodation and Food Services,39.081798,-77.151684,Maryland,Montgomery,,24031
"Fairfax County, Virginia, United States",Director of Finance at MSA Security,"Senior Finance Manager at Huntington Ingalls Industries, Inc.",University of Delaware,"Business Administration and Management, General","University of California, Riverside",MSA Security,"Huntington Ingalls Industries, Inc.",561613 Armored car services,336611 Yachts built in shipyards,56,31-33,Administrative and Support and Waste Management and Remediation Services,64366.438,Manufacturing,38.815636,-77.283685,Virginia,Fairfax,,51059
"Danville, California, United States","R&D Lead (IoT, Data Science, Machine Learning) at GE Research",Application Engineer at Linear Technology,"University of California, Riverside",Computer Science (Wireless Networks),"University of California, Riverside",GE Research,Linear Technology,541611 Strategic planning consulting services,334413 Wafers (semiconductor devices) manufacturing,54,31-33,"Professional, Scientific, and Technical Services",77645.346,Manufacturing,37.821593,-121.99996,California,Contra Costa,,06013
,Administrative Business Partner at Google,Training Coordinator II (Nelson Staffing) at Google,"University of California, Riverside",History,"University of California, Riverside",Google,Google,"541512 Systems integration design services, computer","541512 Systems integration design services, computer",54,54,"Professional, Scientific, and Technical Services",77645.346,"Professional, Scientific, and Technical Services",,,,,,nan
United States,Director Patient Financial Services at San Antonio Regional Hospital,Diector Business Services at Pomona Valley Hospital Medical Center,University of Redlands,Organizational Leadership,"University of California, Riverside",San Antonio Regional Hospital,Pomona Valley Hospital Medical Center,446110 Pharmacies,622110 Osteopathic hospitals,44-45,62,Retail Trade,56013.266,Health Care and Social Assistance,39.78373,-100.445882,,,,nan
"San Marino, California, United States",Lecturer in Environmental History at Caltech,Associate  Research Professor of History at Claremont Graduate University,"University of California, Riverside",History,"University of California, Riverside",Caltech,Claremont Graduate University,541618 Utilities management consulting services,611310 Universities,54,61,"Professional, Scientific, and Technical Services",77645.346,Educational Services,34.121595,-118.105739,California,Los Angeles,,06037
"Gilbert, Arizona, United States",Senior Manager Channel Enablement at Arctic Wolf,Global Channel Sales Enablement at Gigamon,Education (same page),Economics,"University of California, Riverside",Arctic Wolf,Gigamon,"541511 Web (i.e., Internet) page design services, custom","511210 Utility software, computer, packaged",54,51,"Professional, Scientific, and Technical Services",77645.346,Information,33.352763,-111.789037,Arizona,Maricopa,Gilbert,04013
"San Jose, California, United States","Director, Platform Operations at NBCUniversal Media, LLC","Manager, Platform Operations - Intellectual Property:  Analytics, Operations and Technology at NBCUniversal Media, LLC","University of California, Riverside",Law & Society; Anthropology,"University of California, Riverside","NBCUniversal Media, LLC","NBCUniversal Media, LLC","713110 Water parks, amusement","713110 Water parks, amusement",71,71,"Arts, Entertainment, and Recreation",51732.192,"Arts, Entertainment, and Recreation",37.33619,-121.890583,California,Santa Clara,San Jose,06085
"Riverside, California, United States","Executive Vice President, Chief Strategy Officer at Altura Credit Union","Senior Vice President, Technology at Altura Credit Union",California State University-San Bernardino,"Business Administration and Management, General","University of California, Riverside",Altura Credit Union,Altura Credit Union,"522130 Unions, credit","522130 Unions, credit",52,52,Finance and Insurance,80163.492,Finance and Insurance,33.945941,-117.410244,California,Riverside,Riverside,06065
,Regional Vice President of New Partners & Business Development at Wiley University Services,Vice President of Corporate Partnerships at Pearson,General Assembly,Marketing,"University of California, Riverside",Wiley University Services,Pearson,,"511199 Yearbook (e.g., high school, college, university) publishers and printing combined",,51,,,Information,,,,,,nan
"Orange County, California, United States","Executive Advisor at University of California, Riverside",Principal at Citadel Consulting,The George Washington University,International/Global Studies,"University of California, Riverside","University of California, Riverside",Citadel Consulting,"923110 University regents or boards, government",,92,,,,,33.750038,-117.870493,California,Orange,,06059
"Plano, Texas, United States",Lead Product Manager - Wearables at Samsung Electronics America,Marketing Manager - Mobile at Samsung Electronics America,Cornell Johnson Graduate School of Management,"Business Administration, Marketing","University of California, Riverside",Samsung Electronics America,Samsung Electronics America,"423620 Video cameras, household-type, merchant wholesalers",,42,,Wholesale Trade,68623.359,,33.013676,-96.69251,Texas,Collin,Plano,48085
,"Assistant Manager, Site Experience at Urban Decay Cosmetics",Digital Marketing Specialist at Skechers,"University of California, Riverside","Media and Cultural Studies, Business Administration Minor","University of California, Riverside",Urban Decay Cosmetics,Skechers,424210 Vitamins merchant wholesalers,316210 Work shoes manufacturing,42,31-33,Wholesale Trade,68623.359,Manufacturing,,,,,,nan
"Lille, Hauts-de-France, France",CEO & Founder at WheelOfWork,Regional Manager at SThree,"University of California, Riverside","Business Administration and Management, General","University of California, Riverside",WheelOfWork,SThree,,551112 Public utility holding companies,,55,,,Management of Companies and Enterprises,50.636565,3.063528,Hauts-de-France,Nord,Lille,nan
"Costa Mesa, California, United States",Vice President Business Solutions at Kingsbridge Technologies,Regional Director at Resources Global Professionals,"University of California, Irvine - The Paul Merage School of Business","Business Administration and Management, General","University of California, Riverside",Kingsbridge Technologies,Resources Global Professionals,,551112 Public utility holding companies,,55,,,Management of Companies and Enterprises,33.663661,-117.919465,California,Orange,Costa Mesa,06059
"Los Angeles, California, United States",Executive Vice President at U.S. Bank,"SVP, National Managing Director Strategic Markets and Affordable Home Lending at U.S. Bank",1975–1980,History,"University of California, Riverside",U.S. Bank,U.S. Bank,522110 State commercial banks,522110 State commercial banks,52,52,Finance and Insurance,80163.492,Finance and Insurance,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
