,current_location,current_work,previous_work,latest_Education,major,search_school
35,"San Antonio, Texas, United States",President GroMarketShare LLC at GroMarketShare LLC,Vice President Marketing Americas  at Acelity,Brown University,Master's Degree of Science in Healthcare Leadership,Brown University
36,"Boston, Massachusetts, United States","Founder, CEO at Rocket Alumni Solutions",Investment Banking Analyst at Harris Williams,Brown University,Business & Economics,Brown University
37,"San Diego, California, United States",Senior Project Manager at BNBuilders,Senior Project Manager / PM II at Lendlease,Brown University,"Commerce, Organizations, & Entrepreneurship; Architectural Studies",Brown University
38,New York City Metropolitan Area,"Business Services Director at Goldman Sachs 10,000 Small Businesses @ LaGuardia Community College",Director at CAMBA Economic Development Corporation,1997–1999,Finance and Strategic Management,Brown University
39,500+ connections,,Research and Analytics Summer Intern at Commonfund,University of Chicago,Mathematics (B.S.); Economics (B.A.); Statistics (B.A.),Brown University
40,"San Carlos, California, United States","Vice President Of Product Management, Core Products at Splunk","Vice President of Product Management at AtScale, Inc.",1996–1998,"Business, Operations",Brown University
41,"Providence, Rhode Island, United States","Head, US Innovation & Venture Hub at Orsted - Offshore North America","AVP, Innovation Science & Technology at FM Global",2003–2007,"Double Major: 1. Public Policy, 2. Business Economics",Brown University
42,San Francisco Bay Area,"Vice President, Pipeline Strategy and External Innovation at Adverum Biotechnologies, Inc.","Executive Director, Business Development at Adverum Biotechnologies, Inc.",Georgetown University - The McDonough School of Business,International Business,Brown University
43,"Los Angeles, California, United States","Co-Founder, Chairman & Co-CEO at Scopely",CEO at O Negative Media,2000–2004,"English Literature, Fiction Writing",Brown University
44,Greater Minneapolis-St. Paul Area,Senior Marketing Manager at Ecolab,"Senior Marketing Manager, Healthy Fruit at SunOpta",University of Pennsylvania - The Wharton School,Marketing and Operations Management,Brown University
45,"Providence, Rhode Island, United States",Founder at Wingspans,Ph.D. Candidate at Brown University,Brown University,Materials Science,Brown University
46,"San Francisco, California, United States",Head of Product at Sofar Ocean,"Senior Product Manager, APIs & Developer Experience at Planet",Brown University,International Relations,Brown University
47,"Bronxville, New York, United States","SVP Brand, Marketing & Media, Consumer Services at Altice USA","Executive Director, Head of Brand Experience & Development at J.P. Morgan Private Bank at J.P. Morgan",Columbia University in the City of New York,Strategic Communications (Branding concentration),Brown University
48,"Philadelphia, Pennsylvania, United States",System Senior Vice President for Digital and Human Experiences at CommonSpirit Health,Advisory Board Member at Imprivata,Brown University,"Instructional Technology, Measurement",Brown University
49,Bangkok Metropolitan Area,Chief Strategy Officer at Transformational,"Director, Strategy and Corporate Development at Kaidee",Harvard University,"Leadership, Economic Development, Urban Innovation",Brown University
50,"New York, New York, United States",Head of Product at Talent Hack,Director of Product Management at Plated,Brown University,Psychology,Brown University
51,"Los Angeles, California, United States","Vice President, Strategy & Business Development at Mythical Entertainment","Manager, Sports & Entertainment at YouTube",Brown University,Political Science,Brown University
52,San Francisco Bay Area,Global Head of Future Mobility at Rockwell Automation,Global Business Leader - EV & Battery at Rockwell Automation,Brown University,"Entrepreneurship, Strategy",Brown University
53,San Francisco Bay Area,Global Head of Future Mobility at Rockwell Automation,Global Business Leader - EV & Battery at Rockwell Automation,Brown University,,Brown University
54,"London Area, United Kingdom",Founder at The Alchemy Group,International General Manager & VP Growth at Trainline,2006–2008,Entrepreneurial Management,Brown University
55,500+ connections,"Associate Director of Product Management, Pharma Services at NeoGenomics Laboratories",VC Investor at Venture Capital Firm (undisclosed),"University of California, Berkeley",Chemistry,Brown University
56,"Boston, Massachusetts, United States","Business Development, Expansion Operations at Capsule",International Business Development at PharmaLogics Recruiting,Brown University,"Entrepreneurial Engineering, Technology Innovation, Business Engineering, Management, Biotechnology",Brown University
57,"Cambridge, Massachusetts, United States",Executive Founder at The Leadership Consortium (TLC),"Founder and CEO at GenePeeks, Inc.",Harvard Business School,,Brown University
58,"Seattle, Washington, United States",Senior Media Relations Manager at Boeing,"Senior Manager, Fabrication Communications, Boeing Commercial Airplanes at Boeing",Columbia University - Graduate School of Journalism,Journalism,Brown University
59,"Flower Mound, Texas, United States",Vice President Architecture and Engineering at AIG,Senior Technology Strategy Consultant at Point B,Brown University,Business Administration and Management,Brown University
60,"New York, New York, United States","VP, Strategy & Innovation at Insight Partners","Senior Director, Strategy & Business Development at Industrious",2007–2011,Neuroscience and Science & Society,Brown University
61,"Merritt Island, Florida, United States",Chief Medical Officer at Envolve Pharmacy Solutions - at Centene Corporation  https://www.centene.com/,,University of Pennsylvania,,Brown University
62,"Bubikon, Zurich, Switzerland",Sr. Procurement Director EMEAI at Sherwin-Williams,Purchasing Director Europe at Graham Packaging,2001–2002,Production organisation and Management,Brown University
63,"Toronto, Ontario, Canada",Founder at Kirsch Consulting Group Inc,Office of the Provincial Security Advisor at Ontario Government,Brown University,Public Policy,Brown University
64,"New York, New York, United States",Director of Cybersecurity at Unqork,Information Security and Privacy Engineer at Unqork,Brown University,Public Affairs (MPA),Brown University
65,"Santa Cruz, California, United States","Director, Origination & Project Development (West) at Pivot Energy",Origination and Development at Brightmark Energy,1999–2000,Finance,Brown University
66,"Santa Cruz, California, United States","Director, Origination & Project Development (West) at Pivot Energy",Origination and Development at Brightmark Energy,1999–2000,,Brown University
67,"San Francisco, California, United States",Senior Product Manager  at Hipcamp,Senior Product Manager at Yelp,Brown University,Economics,Brown University
68,500+ connections,,Contributing Editor YaleInternationalAlliance at Yale University,Yale University,"History, Mathematics",Brown University
69,Miami-Fort Lauderdale Area,Vice President at USI Insurance Services,Property and Casualty Advisor at Brown & Brown Insurance,University of Central Florida,"Finance, General",Brown University
70,Singapore,Co-Founder at TalentStories,"Director, Talent Acquisition - Asia Pacific at Netflix",1994–1998,,Brown University
71,"Pflugerville, Texas, United States","Director Organizational Effectiveness, Tech at Meta","Regional Talent and Organizational Development Consultant, Americas at Google",Harvard Business School,General Management and Finance,Brown University
72,"New York, New York, United States",Enterprise Customer Success Manager at Lattice,Sr. Client Success Manager/Global Lead at DiligenceVault,Brown University,General Management,Brown University
73,"Los Angeles, California, United States",Principal at You Are Here Properties LLC,Executive Director at Fate Therapeutics Inc,1983–1998,Cell & Molecular Biology,Brown University
74,Greater Chicago Area,Co-Founder & CEO  at Real Made Foods,Senior Marketing Manager at PepsiCo,Brown University,,Brown University
75,"London, England, United Kingdom",Director eCommerce at Decathlon UK,Director eCommerce at Millbrook Healthcare,The University of Chicago Booth School of Business,"Finance, General Management",Brown University
76,San Francisco Bay Area,Chief Executive Officer at AlloVir,"Independent Director, Board of Directors at AlloVir",1997–2003,"Internal Medicine, Infectious Diseases",Brown University
77,"Chapel Hill, North Carolina, United States",Co-Founder & CTO at Own Up,Software Engineer at Ableton,1997–2001,Computer Science,Brown University
78,"New York, New York, United States",CEO at A Place for Mom,CEO at TravelClick,Columbia University - Columbia Business School,Marketing/Finance,Brown University
79,"Los Angeles, California, United States",CEO and Co-Founder at Yumi,"Director at SierraConstellation Partners, LLC",Brown University,Mathematics and Economics,Brown University
80,"New York, New York, United States",Director of New Commerce at Nike,Director of Strategy for Nike Direct (DTC) at Nike,Massachusetts Institute of Technology,Entrepreneurship/Entrepreneurial Studies,Brown University
81,"Washington, District of Columbia, United States",CEO & Co-Founder at Optoro,CEO & Co-Founder at eSpot,2000–2004,Business Economics,Brown University
82,"Cambridge, Massachusetts, United States","Co-Founder, CTO at Wistia, Inc.",Developer at AgencyPort,Education (same page),Computer Engineering,Brown University
83,New York City Metropolitan Area,CEO at Inman News,COO at Gawker Media,University of Michigan Law School,,Brown University
84,"Cincinnati, Ohio, United States",Founder and CEO at RedCircle,Senior Engineering Manager - Communications Platform at Uber,2005–2008,Electrical Engineering,Brown University
85,San Francisco Bay Area,"Digital ABM Manager at Okta, Inc.","Marketing Manager at Okta, Inc.",Brown University,"Economics, Political Science",Brown University
86,"Oakland, California, United States",Chief Technology Officer at On a Sabbatical!,Chief Technology Officer at AppDynamics,1991–1996,Computer Science,Brown University
87,Greater Boston,CEO at Willie's Superbrew,Research Affiliate at MIT Media Lab Department of Synthetic Neurobiology,Brown University,Cognitive Neuroscience,Brown University
88,"Redwood City, California, United States",Co-Founder and Chief Executive Officer at Kriya Therapeutics,Chief Business Officer at Axovant Sciences,Harvard University,Economics,Brown University
89,"Boston, Massachusetts, United States","Vice President, Digital Health at Boston Children's Hospital at Boston Children's Hospital","Senior Director, Strategy & Digital Innovation at Boston Children's Hospital",Columbia University - Columbia Business School,Reproductive and Family Health,Brown University
90,"New York, New York, United States",Chief Operating Officer and Executive Vice President at BRIC (Arts & Media in Brooklyn),Managing Partner at Seneca Mudd Consulting Group,+ 2 more,"General Management, Media&Entertainment, Entrepreneurship",Brown University
91,"British Columbia, Canada",Chief Executive Officer - Canada at Aryza,Director Of Operations at UBERbase.com Inc.,Loyalist College,"Architecture, Design, Drafting, Structural Design, Surveying",Brown University
92,"Montclair, New Jersey, United States",Chief Technology Officer at Braven,"Founder at Harry Li Consulting, LLC",The University of Texas at Austin,Computer Science,Brown University
93,"San Francisco, California, United States",Co-Founder at Storetasker,Full Stack Engineer at x.ai,Brown University,Computer Science,Brown University
94,"New York, New York, United States",Chief Strategy and Innovation Officer at The Philadelphia Inquirer,"Chief Marketing Officer at Simulmedia, Inc.",Brown University,Chemistry and Philosophy,Brown University
95,"Brooklyn, New York, United States",Founder & CEO at Q Mixers,Director of Rebuilding Initiatives at Alliance for Downtown New York,Yale University - Yale School of Management,Public Policy,Brown University
96,"Chappaqua, New York, United States","Managing Director, Infrastructure, Utilities & Renewables at Evercore","Managing Director, Transportation & Infrastructure at Evercore",Education (same page),,Brown University
97,"San Francisco, California, United States",Chief Operating Officer at ExcepGen,Strategy Manager & Chief of Staff at Velano Vascular,Brown University,Biotechnology,Brown University
98,"New York, New York, United States",CEO & Co-Founder at akorda,Co-Founder at Recommind Inc,Brown University,Biochemistry & Molecular Biology,Brown University
99,Stockholm Metropolitan Area,Co-founder & CEO  at Curb Food,CEO Nordics at Delivery Hero SE,"King's College London, U. of London",Business Management,Brown University
100,Los Angeles Metropolitan Area,CEO / Founder at Imprint Projects,Co-Owner at Family Bookstore,Brown University,Art Semiotics,Brown University
101,"Apollo Beach, Florida, United States",Co-Founder & Chief Operating Officer at Diverse Workforce Consultants,Vice President; Senior Labor Consultant at Reliant Labor Consulting,Washington University in St. Louis School of Law,Law,Brown University
102,"Los Angeles, California, United States",CEO & Co-Founder at Forager,Partner at Phyllis Street Consulting,UCLA Anderson School of Management,Entrepreneurship,Brown University
103,"New York, New York, United States",EVP Corporate Strategy | M&A at Pluralsight,Vice President Strategy and Business Development - Partner Ecosystem at IBM,1998–2000,Competitive Strategies,Brown University
104,"Los Angeles, California, United States","Chief Executive Officer at Praedicat, Inc.",Senior Economist at RAND,Brown University,Economics,Brown University
105,United States,"CEO, Founder at Intimately.co",Head of Marketing at Actiondesk,Brown University,"Visual Arts, French and Francophone Studies",Brown University
106,"Houston, Texas, United States",CEO/Co-Founder at Solugen,MD/PhD  at UT Southwestern Medical Center,2006–2010,"Neuroscience, Computational Biology",Brown University
107,New York City Metropolitan Area,Chief Operating Officer at Cater2.me,Chief Of Staff at Cater2.me,Brown University,"International Relations, Economics, Arabic",Brown University
108,Greater Boston,"Vice President, U.S. Group Procurement at Toray Industries, Inc.","Vice President, Procurement & Engineering at Toray Plastics (America), Inc.",MIT Sloan School of Management,Operations Management,Brown University
109,"Stamford, Connecticut, United States",Group Chief Financial Officer at Point72,Business Unit Leader at SoFi,Brown University,Double Major: Business Economics; Organizational Behavior & Mgmt,Brown University
110,"Austin, Texas, United States",Co-Founder at Ethos Life,"Co-Founder, CPO/CTO at Ovid Corp.",Stanford University Graduate School of Business,Applied Mathematics - Economics; Mechanical Engineering,Brown University
111,United States,"Co-Founder, COO and Head of Product at Float",Founder at AKOS,University of Pennsylvania - The Wharton School,Business Economics,Brown University
112,"New York, New York, United States","Vice President, Americas B2B eCommerce Center of Excellence at the LEGO Group","Head of Digital, North America eCommerce at Richemont",Harvard Business School,"Commerce, Organizations & Entrepreneurship",Brown University
113,500+ connections,Venture Fellow Lead at MiraclePlus (former Y Combinator China),Data Science Intern at Tovala,University of Chicago,Computational Social Science,Brown University
114,San Francisco Bay Area,Chief Executive Officer at Packagecloud,Operations & Security Strategy at Packagecloud,Brown University,Cybersecurity,Brown University
115,New York City Metropolitan Area,Co-Founder and President at Talent Tech Labs,"Board Director at UMS Group, Inc",Brown University,Engineering / Economics,Brown University
116,San Francisco Bay Area,"Chief Executive Officer, Co-founder, Director at Providence Medical Technology, Inc.",Supervisory Board Member at HoloSurgical,Brown University,Organizational Behavior and Management,Brown University
117,"New York, New York, United States",Head Of Operations at Yoni Circle,Chief Operating Officer at 305 Fitness,Brown University,"Sociology, French",Brown University
118,"Austin, Texas, United States",Founder and CEO at PreFix Inc.,"Director, Program Management and Strategy at Rev Worldwide",The University of Chicago Booth School of Business,"Finance, Strategic Management",Brown University
119,San Francisco Bay Area,Managing Director at LionTree LLC,"Managing Director, Global Co-Head of Internet & Digital Media Investment Banking at Bank of America Merrill Lynch",Stanford Law School,"Economics, Political Science",Brown University
120,New York City Metropolitan Area,Chief Marketing Officer & Co-founder at Oscar Massin,Chief Marketing Officer at John Hardy,1993–1997,Visual Art & English Lit,Brown University
121,Peru,Vice Presidente de Tecnología  at Intercorp Retail,Vicepresidente de Tecnologia at Ransa,Georgetown University,International Business Diplomacy,Brown University
122,"New York, New York, United States",SVP - Operations Strategy & Development at Wonder,Chief Business Development Officer at Boxed,Brown University,,Brown University
123,"Brooklyn, New York, United States",Co-Founder at FARO Collective,,1998–2002,Industrial Design,Brown University
124,"Boulder, Colorado, United States",President and CEO at Sustainable Power Systems,"President at Sustainable Automation, Inc.",+ 2 more,Mechanical Engineering,Brown University
125,"Boulder, Colorado, United States",President and CEO at Sustainable Power Systems,"President at Sustainable Automation, Inc.",+ 2 more,,Brown University
126,"Washington, District of Columbia, United States",President at Endurans™ Solar,"Board Member at Pharos Solar, LLC",University of Michigan - Stephen M. Ross School of Business,Emphasis on Marketing and Strategy,Brown University
127,Colombia,Director de Tecnologías de Innovación at Banco Davivienda,Deputy Director at Ministerio de Tecnologías de la Información y las Comunicaciones,Brown University,"Business Administration and Management, General",Brown University
128,"Charlotte, North Carolina, United States","SVP, Sr. Application Security Architect & Manager at Bank of America","VP, Cyber Resilience Lead at Bank of America",Brown University,Cyber Security,Brown University
129,Greater Boston,Co-founder at MY-TAKE LLC,Chief Marketing Officer - PF Division at Jarden Corporation,Brown University,Technology Leadership,Brown University
130,Singapore,Group Chief Financial Officer at Cloud Kinetics & Infofabrica,Founding Partner at Quvat Management Pte Ltd,1989–1993,Economics,Brown University
131,"Omaha, Nebraska, United States",Chief Information Officer at Scooter's Coffee,Principal at Retail Digital Strategy,University of Nebraska at Omaha,Business & Information Technology,Brown University
132,"Spring, Texas, United States","Global Head, Projects and Facilities Engineering at Hess Corporation",Head of Global Facilities at Hess Corporation,Brown University,Technology Leadership,Brown University
133,Greater Boston,Chief Technology Officer at Intus Care,Software Engineer/Data Science Intern at Upserve,Brown University,Computer Science,Brown University
134,"Charleston, South Carolina Metropolitan Area",Chief Strategy Officer at Dymicron,Chief Commercial Officer at Titan Spine,Brown University,International Relations and Political Science,Brown University
135,Greater Boston,Chief Development Officer at Mint House,"Managing Director, Business Development & IR at Driftwood Capital",Brown University,Business/Economics,Brown University
136,"Salem, Massachusetts, United States",Chief Operating Officer at Salem Glass Company,,Harvard Business School,Business/Managerial Economics,Brown University
137,"New York, New York, United States",Chief Investment Officer at Pritzker Family Foundations,Founder and Chief Investment Officer at Idyllic Partners,Brown University,Business Economics and Psychology,Brown University
138,"Bellevue, Washington, United States",Managing Director and Founder / Strategy and Management Consulting (IOT and Connected Systems) at Vision Consulting,"Senior Client Partner / Director  at DMI (Digital Management, LLC)",Rensselaer Polytechnic Institute,Manufacturing System Management,Brown University
139,"New York, New York, United States",Founder at Arktos Capital LLC,Member Board Of Directors at Wellpower,2011–2015,Biology,Brown University
140,"San Francisco, California, United States",Senior Director Business Operations at LinkedIn,Senior Director Corporate Development & Strategy at Asurion,University of Pennsylvania - The Wharton School,General Management,Brown University
141,"San Francisco, California, United States",Head of Product at NexHealth,Director of Product at Redfin,Brown University,"Computer Science, Science & Society",Brown University
142,"Carrollton, Texas, United States",Contributing Author at Forbes Technology Council,"CEO at Heymann Group, Inc",1981–1982,"Economics, Management",Brown University
143,New York City Metropolitan Area,Executive Vice President Corporate Operations at Crestron Electronics,Vice President Global Real Estate & Workplace Services at Crestron Electronics,Southern Methodist University - Cox School of Business,Construction Management,Brown University
144,New York City Metropolitan Area,"VP of Marketing | eCommerce, Qunol brand at Qunol / MK",Ecommerce Director - USA at Colgate-Palmolive,The Wharton School,Marketing and Health Care Management,Brown University
145,"Fort Myers, Florida, United States",Chief Strategy and Innovation Officer at Lee Health,"VP, Head of Strategy & Innovation at Lee Health",Georgetown University McDonough School of Business,AARP AgL Leadership Program,Brown University
146,"Berkeley, California, United States",Chief Data Officer at University of Wisconsin-Madison,"Director, Higher Education Strategy and Operations at Huron Consulting Group",UC Berkeley Extension,"Business Administration and Management, General",Brown University
147,"Lexington, Massachusetts, United States",Chief Executive Officer at Riveting Results,Superintendent of Schools at Wayland Public Schools,Yale University,History,Brown University
148,"Boston, Massachusetts, United States",Venture Partner at NextGen Venture Partners,Founder & Consultant at Ad Astra,Brown University,,Brown University
149,Jakarta Metropolitan Area,Co-Founder & CEO at Kerja.io,Product Manager at Kargo Technologies,Brown University,"Political Science, Certificate in Entrepreneurship",Brown University
150,United States,CEO and Managing Partner at Nixon Peabody LLP,Health Care Law and Insurance Law Partner; Business and Finance Department Head at Nixon Peabody LLP,Marquette University Law School,Law,Brown University
151,"Franklin, Massachusetts, United States","Director, Insights Analytics & Media at The Boston Beer Company","Senior Director, Insights & Analytics at Hasbro",Brown University,Sociology,Brown University
152,"New York, New York, United States",Co-Founder and Senior Director at Direct Air Capture Coalition,"Senior Specialist,  Regulatory Strategy and Stakeholder Engagement, Energy Efficiency at Con Edison",Brown University,History and Public Policy & American Institutions,Brown University
153,"New York, New York, United States","COO, Creative Director at Prose Media",Assistant Managing Editor at Odyssey,The New School,Literary Studies (Writing concentration),Brown University
154,"Pittsburgh, Pennsylvania, United States",,"Chief Executive Officer at VSMPO-Tirus, US",Brown University,,Brown University
155,"New York, New York, United States",Executive Vice President - Chief Risk Officer at ConnectOne Bank,"Director - Enterprise Risk and Strategic Initiatives, Head of Operational Risk at OnDeck",1995–1999,Mechanical Engineering,Brown University
156,"Chatham, New Jersey, United States",Founder at HyperFog,,Tufts University School of Medicine,Medicine,Brown University
157,United Arab Emirates,Founder & CEO at Aliph Capital,Member of the Board of Directors at TIm Hortons Middle East,1997–2001,Neuroscience & Business Economics,Brown University
158,"Tres Cantos, Community of Madrid, Spain",Chief Executive Officer at Ommatidia LIDAR,"Chief Operations Officer at MedLumics, S.L.",Brown University,Business,Brown University
159,Greater Paris Metropolitan Region,Co-founder and Managing Director at Entertainment Learning,President at Vivendi Games Mobile,London Business School,Management,Brown University
160,"San Francisco, California, United States",Senior Engineering Manager - Synthetic Data at Meta,Founder at AI. Reverie,Brown University,Computer Science,Brown University
161,"North Vancouver, British Columbia, Canada",Founder and CEEO at AMNIe.org,Principal Director - Financial Services and Clean Innovation at Accenture,Competent Boards Certificate Program,Business - joint with Brown University,Brown University
162,New York City Metropolitan Area,Vice President of Development and Philanthropic Services at Fairfield County's Community Foundation,Vice President of Programs at Fairfield County's Community Foundation,Brown University,Public Policy and Women's Studies,Brown University
163,Washington DC-Baltimore Area,Partner at King & Spalding,Corporate Counsel at Northrop Grumman,Boston College Law School,Biomedical Ethics & Judaic Studies,Brown University
164,"Falls Church, Virginia, United States",Holistic Mouth Doctor and Certified Biological Dentist at Whole Health Dental Center,,Case Western Reserve University School of Dental Medicine,Dentistry,Brown University
165,"New York, New York, United States",Managing Partner & Principal at The New England Consulting Group,Partner at PA Consulting,Brown University,English and American Literature,Brown University
166,"New York, New York, United States",Head of Growth Marketing at Bokksu,"Senior Associate at Cohanzick Management, LLC",Brown University,Psychology and Public Policy,Brown University
167,Washington DC-Baltimore Area,"Business Executive of Vitamins, Minerals, Supplements (VMS), Nestle Nutrition (Gerber) at Nestlé","Marketing Director, Household Innovation at Reckitt",Yale School of Management,"Marketing, Strategy",Brown University
168,Raleigh-Durham-Chapel Hill Area,"President, Certified Franchise Consultant at Grecky Franchise Consulting",Staff Writer at Franchise Dictionary Magazine,Brown University,Economics & Organizational Behavior,Brown University
169,"San Francisco, California, United States",VP of Data Science at Sonoma Biotherapeutics,Head of Data Science and Bioinformatics at Engine Biosciences,"University of California, San Francisco",Biostatistics,Brown University
170,"London, England, United Kingdom",Partner at Mosaic Ventures,Co-Founder at Uniform Teeth,Brown University,Economics (Honors + Magna Cum Laude),Brown University
171,"New York, New York, United States",Partner at TCV,Vice President at New Mountain Capital,Brown University,Computer Science,Brown University
172,"New York, New York, United States",Binance Crypto Exchange & DeFi Token at X-Meta.com / IHC,Crypto Business Development & Investor Relations at Blockchain Payments Company,Brown University,,Brown University
173,"New York, New York, United States","Plastic Surgeon at Darren M. Smith, MD, PC",Plastic Surgeon at Private Practice,Brown University,Human Biology (Honors),Brown University
174,United Kingdom,"Managing Director, Europe at Ripple",Digital & Fintech Segment Global Lead at Mastercard Data & Services,Harvard Business School,M.B.A.,Brown University
175,"Mountain View, California, United States",Chief Technology Officer at Blue River Technology,VP of Engineering at Blue River Technology,1990–1995,Mechanical Engineering,Brown University
176,"Boston, Massachusetts, United States",Co-Founder and CEO at Ten Percent Happier,Chief Technology Officer and Co-Founder at Zeo Inc.,Brown University,Computer Engineering,Brown University
177,San Francisco Bay Area,CEO at Adentro,Head of Seller Growth at eBay,Georgetown University,Law,Brown University
178,Dallas-Fort Worth Metroplex,Chief Operating Officer at Chess.com,"Director of Sales, Partnerships, Alliances (Americas) - Spot.io at NetApp",Stanford University Graduate School of Business,History,Brown University
